OP_NUM,pk_LAT,pk_LON,pkGEO,pk_maxCH4_AB,pk_maxC2H6_AB,prev_read,numdays,pk_Dates,min_Date,Latitude,Longitude,Overall_LON,Overall_LAT,pass,Frequency,minElevated,min_read,recombine,numtimes,verified
TRUSS_1597182455.6,33.622802078970054,-86.66813339091281,"POLYGON ((3949930.937057113 4379820.454170546, 3949930.792598913 4379817.513656336, 3949930.360615525 4379814.601460885, 3949929.645267185 4379811.745630228, 3949928.653443089 4379808.973667575, 3949927.394695044 4379806.312268441, 3949925.881145482 4379803.787063555, 3949924.127370714 4379801.422372021, 3949922.150260549 4379799.24096711, 3949919.968855638 4379797.263856945, 3949917.604164104 4379795.510082177, 3949915.078959218 4379793.996532615, 3949912.417560084 4379792.73778457, 3949909.645597431 4379791.745960474, 3949906.789766774 4379791.030612133, 3949903.877571323 4379790.598628745, 3949900.937057113 4379790.454170546, 3949897.996542904 4379790.598628745, 3949895.084347453 4379791.030612133, 3949892.228516796 4379791.745960474, 3949889.456554142 4379792.73778457, 3949886.795155008 4379793.996532615, 3949884.269950123 4379795.510082177, 3949881.905258588 4379797.263856945, 3949879.723853678 4379799.24096711, 3949877.746743512 4379801.422372021, 3949875.992968744 4379803.787063555, 3949874.479419183 4379806.312268441, 3949873.220671138 4379808.973667575, 3949872.228847041 4379811.745630228, 3949871.513498701 4379814.601460885, 3949871.081515313 4379817.513656336, 3949870.937057113 4379820.454170546, 3949871.081515313 4379823.394684755, 3949871.513498701 4379826.306880206, 3949872.228847041 4379829.162710863, 3949873.220671138 4379831.934673516, 3949874.479419183 4379834.596072651, 3949875.992968744 4379837.121277536, 3949877.746743512 4379839.48596907, 3949879.723853678 4379841.667373981, 3949881.905258588 4379843.644484146, 3949884.269950123 4379845.398258914, 3949886.795155008 4379846.911808476, 3949889.456554142 4379848.170556521, 3949892.228516796 4379849.162380617, 3949895.084347453 4379849.877728958, 3949897.996542904 4379850.309712346, 3949900.937057113 4379850.454170546, 3949903.877571323 4379850.309712346, 3949906.789766774 4379849.877728958, 3949909.645597431 4379849.162380617, 3949912.417560084 4379848.170556521, 3949915.078959218 4379846.911808476, 3949917.604164104 4379845.398258914, 3949919.968855638 4379843.644484146, 3949922.150260549 4379841.667373981, 3949924.127370714 4379839.48596907, 3949925.881145482 4379837.121277536, 3949927.394695044 4379834.596072651, 3949928.653443089 4379831.934673516, 3949929.645267185 4379829.162710863, 3949930.360615525 4379826.306880206, 3949930.792598913 4379823.394684755, 3949930.937057113 4379820.454170546))",0.27511499999999955,2.0421049999999994,TRUSS_1597182455.6,1,['2020-08-11'],2020-08-11,33.622802078970054,-86.66813339091281,-86.66813339091281,33.622802078970054,23,6,2,TRUSS_1597182455.6,"['TRUSS_1597182455.6', 'TRUSS_1597183622.7', 'TRUSS_1597183628.8']",2,True
TRUSS_1597182465.8,33.62409824455566,-86.66769441791456,"POLYGON ((3949911.877720845 4379991.201233921, 3949911.733262645 4379988.260719711, 3949911.301279257 4379985.34852426, 3949910.585930917 4379982.492693603, 3949909.59410682 4379979.72073095, 3949908.335358775 4379977.059331816, 3949906.821809214 4379974.53412693, 3949905.068034446 4379972.169435396, 3949903.090924281 4379969.988030485, 3949900.90951937 4379968.01092032, 3949898.544827836 4379966.257145552, 3949896.01962295 4379964.74359599, 3949893.358223816 4379963.484847945, 3949890.586261163 4379962.493023849, 3949887.730430505 4379961.777675509, 3949884.818235055 4379961.34569212, 3949881.877720845 4379961.201233921, 3949878.937206635 4379961.34569212, 3949876.025011185 4379961.777675509, 3949873.169180527 4379962.493023849, 3949870.397217874 4379963.484847945, 3949867.73581874 4379964.74359599, 3949865.210613854 4379966.257145552, 3949862.84592232 4379968.01092032, 3949860.664517409 4379969.988030485, 3949858.687407244 4379972.169435396, 3949856.933632476 4379974.53412693, 3949855.420082915 4379977.059331816, 3949854.161334869 4379979.72073095, 3949853.169510773 4379982.492693603, 3949852.454162433 4379985.34852426, 3949852.022179045 4379988.260719711, 3949851.877720845 4379991.201233921, 3949852.022179045 4379994.14174813, 3949852.454162433 4379997.053943581, 3949853.169510773 4379999.909774238, 3949854.161334869 4380002.681736891, 3949855.420082915 4380005.343136026, 3949856.933632476 4380007.868340911, 3949858.687407244 4380010.233032445, 3949860.664517409 4380012.414437356, 3949862.84592232 4380014.391547522, 3949865.210613854 4380016.145322289, 3949867.73581874 4380017.658871851, 3949870.397217874 4380018.917619896, 3949873.169180527 4380019.909443992, 3949876.025011185 4380020.624792333, 3949878.937206635 4380021.056775721, 3949881.877720845 4380021.201233921, 3949884.818235055 4380021.056775721, 3949887.730430505 4380020.624792333, 3949890.586261163 4380019.909443992, 3949893.358223816 4380018.917619896, 3949896.01962295 4380017.658871851, 3949898.544827836 4380016.145322289, 3949900.90951937 4380014.391547522, 3949903.090924281 4380012.414437356, 3949905.068034446 4380010.233032445, 3949906.821809214 4380007.868340911, 3949908.335358775 4380005.343136026, 3949909.59410682 4380002.681736891, 3949910.585930917 4379999.909774238, 3949911.301279257 4379997.053943581, 3949911.733262645 4379994.14174813, 3949911.877720845 4379991.201233921))",0.44747,1.8875400000000002,TRUSS_1597182465.8,1,['2020-08-11'],2020-08-11,33.62409824455566,-86.66769441791456,-86.66769441791456,33.62409824455566,23,13,2,TRUSS_1597182465.8,"['TRUSS_1597182465.8', 'TRUSS_1597182539.6', 'TRUSS_1597183622.7', 'TRUSS_1597183628.8']",2,True
TRUSS_1597182539.6,33.624232974735705,-86.6681179956806,"POLYGON ((3949863.54417825 4379990.0444257, 3949863.39972005 4379987.10391149, 3949862.967736662 4379984.19171604, 3949862.252388322 4379981.335885382, 3949861.260564226 4379978.563922729, 3949860.001816181 4379975.902523595, 3949858.488266619 4379973.377318709, 3949856.734491851 4379971.012627175, 3949854.757381686 4379968.831222264, 3949852.575976775 4379966.854112099, 3949850.211285241 4379965.100337331, 3949847.686080355 4379963.58678777, 3949845.024681221 4379962.328039724, 3949842.252718568 4379961.336215628, 3949839.396887911 4379960.620867288, 3949836.48469246 4379960.1888839, 3949833.54417825 4379960.0444257, 3949830.603664041 4379960.1888839, 3949827.69146859 4379960.620867288, 3949824.835637933 4379961.336215628, 3949822.063675279 4379962.328039724, 3949819.402276145 4379963.58678777, 3949816.87707126 4379965.100337331, 3949814.512379725 4379966.854112099, 3949812.330974814 4379968.831222264, 3949810.353864649 4379971.012627175, 3949808.600089881 4379973.377318709, 3949807.08654032 4379975.902523595, 3949805.827792275 4379978.563922729, 3949804.835968178 4379981.335885382, 3949804.120619838 4379984.19171604, 3949803.68863645 4379987.10391149, 3949803.54417825 4379990.0444257, 3949803.68863645 4379992.98493991, 3949804.120619838 4379995.89713536, 3949804.835968178 4379998.752966017, 3949805.827792275 4380001.52492867, 3949807.08654032 4380004.186327805, 3949808.600089881 4380006.711532691, 3949810.353864649 4380009.076224225, 3949812.330974814 4380011.257629136, 3949814.512379725 4380013.234739301, 3949816.87707126 4380014.988514069, 3949819.402276145 4380016.50206363, 3949822.063675279 4380017.760811675, 3949824.835637933 4380018.752635771, 3949827.69146859 4380019.467984112, 3949830.603664041 4380019.8999675, 3949833.54417825 4380020.0444257, 3949836.48469246 4380019.8999675, 3949839.396887911 4380019.467984112, 3949842.252718568 4380018.752635771, 3949845.024681221 4380017.760811675, 3949847.686080355 4380016.50206363, 3949850.211285241 4380014.988514069, 3949852.575976775 4380013.234739301, 3949854.757381686 4380011.257629136, 3949856.734491851 4380009.076224225, 3949858.488266619 4380006.711532691, 3949860.001816181 4380004.186327805, 3949861.260564226 4380001.52492867, 3949862.252388322 4379998.752966017, 3949862.967736662 4379995.89713536, 3949863.39972005 4379992.98493991, 3949863.54417825 4379990.0444257))",0.749025,7.521700000000001,TRUSS_1597182465.8,1,['2020-08-11'],2020-08-11,33.624232974735705,-86.6681179956806,-86.6681179956806,33.624232974735705,23,13,2,TRUSS_1597182465.8,"['TRUSS_1597182465.8', 'TRUSS_1597182539.6', 'TRUSS_1597183622.7', 'TRUSS_1597183628.8']",2,True
TRUSS_1597183622.7,33.6236801147,-86.66829562154281,"POLYGON ((3949872.623302855 4379917.60242618, 3949872.478844655 4379914.66191197, 3949872.046861267 4379911.749716519, 3949871.331512927 4379908.893885862, 3949870.339688831 4379906.121923209, 3949869.080940785 4379903.460524075, 3949867.567391224 4379900.935319189, 3949865.813616456 4379898.570627655, 3949863.836506291 4379896.389222744, 3949861.65510138 4379894.412112579, 3949859.290409846 4379892.658337811, 3949856.76520496 4379891.144788249, 3949854.103805826 4379889.886040204, 3949851.331843173 4379888.894216108, 3949848.476012515 4379888.178867768, 3949845.563817065 4379887.74688438, 3949842.623302855 4379887.60242618, 3949839.682788645 4379887.74688438, 3949836.770593195 4379888.178867768, 3949833.914762537 4379888.894216108, 3949831.142799884 4379889.886040204, 3949828.48140075 4379891.144788249, 3949825.956195864 4379892.658337811, 3949823.59150433 4379894.412112579, 3949821.410099419 4379896.389222744, 3949819.432989254 4379898.570627655, 3949817.679214486 4379900.935319189, 3949816.165664925 4379903.460524075, 3949814.90691688 4379906.121923209, 3949813.915092783 4379908.893885862, 3949813.199744443 4379911.749716519, 3949812.767761055 4379914.66191197, 3949812.623302855 4379917.60242618, 3949812.767761055 4379920.542940389, 3949813.199744443 4379923.45513584, 3949813.915092783 4379926.310966497, 3949814.90691688 4379929.08292915, 3949816.165664925 4379931.744328285, 3949817.679214486 4379934.26953317, 3949819.432989254 4379936.634224704, 3949821.410099419 4379938.815629615, 3949823.59150433 4379940.792739781, 3949825.956195864 4379942.546514548, 3949828.48140075 4379944.06006411, 3949831.142799884 4379945.318812155, 3949833.914762537 4379946.310636251, 3949836.770593195 4379947.025984592, 3949839.682788645 4379947.45796798, 3949842.623302855 4379947.60242618, 3949845.563817065 4379947.45796798, 3949848.476012515 4379947.025984592, 3949851.331843173 4379946.310636251, 3949854.103805826 4379945.318812155, 3949856.76520496 4379944.06006411, 3949859.290409846 4379942.546514548, 3949861.65510138 4379940.792739781, 3949863.836506291 4379938.815629615, 3949865.813616456 4379936.634224704, 3949867.567391224 4379934.26953317, 3949869.080940785 4379931.744328285, 3949870.339688831 4379929.08292915, 3949871.331512927 4379926.310966497, 3949872.046861267 4379923.45513584, 3949872.478844655 4379920.542940389, 3949872.623302855 4379917.60242618))",0.1315700000000002,1.5570000000000004,TRUSS_1597183622.7,1,['2020-08-11'],2020-08-11,33.6236801147,-86.66829562154281,-86.66829562154281,33.6236801147,23,2,2,TRUSS_1597182465.8,"['TRUSS_1597182465.8', 'TRUSS_1597182539.6', 'TRUSS_1597183622.7', 'TRUSS_1597183628.8']",2,True
TRUSS_1597183622.7,33.6236801147,-86.66829562154281,"POLYGON ((3949872.623302855 4379917.60242618, 3949872.478844655 4379914.66191197, 3949872.046861267 4379911.749716519, 3949871.331512927 4379908.893885862, 3949870.339688831 4379906.121923209, 3949869.080940785 4379903.460524075, 3949867.567391224 4379900.935319189, 3949865.813616456 4379898.570627655, 3949863.836506291 4379896.389222744, 3949861.65510138 4379894.412112579, 3949859.290409846 4379892.658337811, 3949856.76520496 4379891.144788249, 3949854.103805826 4379889.886040204, 3949851.331843173 4379888.894216108, 3949848.476012515 4379888.178867768, 3949845.563817065 4379887.74688438, 3949842.623302855 4379887.60242618, 3949839.682788645 4379887.74688438, 3949836.770593195 4379888.178867768, 3949833.914762537 4379888.894216108, 3949831.142799884 4379889.886040204, 3949828.48140075 4379891.144788249, 3949825.956195864 4379892.658337811, 3949823.59150433 4379894.412112579, 3949821.410099419 4379896.389222744, 3949819.432989254 4379898.570627655, 3949817.679214486 4379900.935319189, 3949816.165664925 4379903.460524075, 3949814.90691688 4379906.121923209, 3949813.915092783 4379908.893885862, 3949813.199744443 4379911.749716519, 3949812.767761055 4379914.66191197, 3949812.623302855 4379917.60242618, 3949812.767761055 4379920.542940389, 3949813.199744443 4379923.45513584, 3949813.915092783 4379926.310966497, 3949814.90691688 4379929.08292915, 3949816.165664925 4379931.744328285, 3949817.679214486 4379934.26953317, 3949819.432989254 4379936.634224704, 3949821.410099419 4379938.815629615, 3949823.59150433 4379940.792739781, 3949825.956195864 4379942.546514548, 3949828.48140075 4379944.06006411, 3949831.142799884 4379945.318812155, 3949833.914762537 4379946.310636251, 3949836.770593195 4379947.025984592, 3949839.682788645 4379947.45796798, 3949842.623302855 4379947.60242618, 3949845.563817065 4379947.45796798, 3949848.476012515 4379947.025984592, 3949851.331843173 4379946.310636251, 3949854.103805826 4379945.318812155, 3949856.76520496 4379944.06006411, 3949859.290409846 4379942.546514548, 3949861.65510138 4379940.792739781, 3949863.836506291 4379938.815629615, 3949865.813616456 4379936.634224704, 3949867.567391224 4379934.26953317, 3949869.080940785 4379931.744328285, 3949870.339688831 4379929.08292915, 3949871.331512927 4379926.310966497, 3949872.046861267 4379923.45513584, 3949872.478844655 4379920.542940389, 3949872.623302855 4379917.60242618))",0.1315700000000002,1.5570000000000004,TRUSS_1597183622.7,1,['2020-08-11'],2020-08-11,33.6236801147,-86.66829562154281,-86.66829562154281,33.6236801147,23,2,2,TRUSS_1597182455.6,"['TRUSS_1597182455.6', 'TRUSS_1597183622.7', 'TRUSS_1597183628.8']",2,True
TRUSS_1597183628.8,33.6233879347715,-86.668147870468,"POLYGON ((3949901.291291092 4379889.052851637, 3949901.146832892 4379886.112337427, 3949900.714849504 4379883.200141977, 3949899.999501164 4379880.344311319, 3949899.007677068 4379877.572348666, 3949897.748929022 4379874.910949532, 3949896.235379461 4379872.385744646, 3949894.481604693 4379870.021053112, 3949892.504494528 4379867.839648201, 3949890.323089617 4379865.862538036, 3949887.958398083 4379864.108763268, 3949885.433193197 4379862.595213707, 3949882.771794063 4379861.336465661, 3949879.99983141 4379860.344641565, 3949877.144000752 4379859.629293225, 3949874.231805302 4379859.197309837, 3949871.291291092 4379859.052851637, 3949868.350776882 4379859.197309837, 3949865.438581432 4379859.629293225, 3949862.582750774 4379860.344641565, 3949859.810788121 4379861.336465661, 3949857.149388987 4379862.595213707, 3949854.624184101 4379864.108763268, 3949852.259492567 4379865.862538036, 3949850.078087656 4379867.839648201, 3949848.100977491 4379870.021053112, 3949846.347202723 4379872.385744646, 3949844.833653162 4379874.910949532, 3949843.574905117 4379877.572348666, 3949842.58308102 4379880.344311319, 3949841.86773268 4379883.200141977, 3949841.435749292 4379886.112337427, 3949841.291291092 4379889.052851637, 3949841.435749292 4379891.993365847, 3949841.86773268 4379894.905561297, 3949842.58308102 4379897.761391954, 3949843.574905117 4379900.533354607, 3949844.833653162 4379903.194753742, 3949846.347202723 4379905.719958628, 3949848.100977491 4379908.084650162, 3949850.078087656 4379910.266055073, 3949852.259492567 4379912.243165238, 3949854.624184101 4379913.996940006, 3949857.149388987 4379915.510489567, 3949859.810788121 4379916.769237612, 3949862.582750774 4379917.761061708, 3949865.438581432 4379918.476410049, 3949868.350776882 4379918.908393437, 3949871.291291092 4379919.052851637, 3949874.231805302 4379918.908393437, 3949877.144000752 4379918.476410049, 3949879.99983141 4379917.761061708, 3949882.771794063 4379916.769237612, 3949885.433193197 4379915.510489567, 3949887.958398083 4379913.996940006, 3949890.323089617 4379912.243165238, 3949892.504494528 4379910.266055073, 3949894.481604693 4379908.084650162, 3949896.235379461 4379905.719958628, 3949897.748929022 4379903.194753742, 3949899.007677068 4379900.533354607, 3949899.999501164 4379897.761391954, 3949900.714849504 4379894.905561297, 3949901.146832892 4379891.993365847, 3949901.291291092 4379889.052851637))",0.1831400000000003,2.573549999999999,TRUSS_1597183622.7,1,['2020-08-11'],2020-08-11,33.6233879347715,-86.668147870468,-86.668147870468,33.6233879347715,23,6,2,TRUSS_1597182465.8,"['TRUSS_1597182465.8', 'TRUSS_1597182539.6', 'TRUSS_1597183622.7', 'TRUSS_1597183628.8']",2,True
TRUSS_1597183628.8,33.6233879347715,-86.668147870468,"POLYGON ((3949901.291291092 4379889.052851637, 3949901.146832892 4379886.112337427, 3949900.714849504 4379883.200141977, 3949899.999501164 4379880.344311319, 3949899.007677068 4379877.572348666, 3949897.748929022 4379874.910949532, 3949896.235379461 4379872.385744646, 3949894.481604693 4379870.021053112, 3949892.504494528 4379867.839648201, 3949890.323089617 4379865.862538036, 3949887.958398083 4379864.108763268, 3949885.433193197 4379862.595213707, 3949882.771794063 4379861.336465661, 3949879.99983141 4379860.344641565, 3949877.144000752 4379859.629293225, 3949874.231805302 4379859.197309837, 3949871.291291092 4379859.052851637, 3949868.350776882 4379859.197309837, 3949865.438581432 4379859.629293225, 3949862.582750774 4379860.344641565, 3949859.810788121 4379861.336465661, 3949857.149388987 4379862.595213707, 3949854.624184101 4379864.108763268, 3949852.259492567 4379865.862538036, 3949850.078087656 4379867.839648201, 3949848.100977491 4379870.021053112, 3949846.347202723 4379872.385744646, 3949844.833653162 4379874.910949532, 3949843.574905117 4379877.572348666, 3949842.58308102 4379880.344311319, 3949841.86773268 4379883.200141977, 3949841.435749292 4379886.112337427, 3949841.291291092 4379889.052851637, 3949841.435749292 4379891.993365847, 3949841.86773268 4379894.905561297, 3949842.58308102 4379897.761391954, 3949843.574905117 4379900.533354607, 3949844.833653162 4379903.194753742, 3949846.347202723 4379905.719958628, 3949848.100977491 4379908.084650162, 3949850.078087656 4379910.266055073, 3949852.259492567 4379912.243165238, 3949854.624184101 4379913.996940006, 3949857.149388987 4379915.510489567, 3949859.810788121 4379916.769237612, 3949862.582750774 4379917.761061708, 3949865.438581432 4379918.476410049, 3949868.350776882 4379918.908393437, 3949871.291291092 4379919.052851637, 3949874.231805302 4379918.908393437, 3949877.144000752 4379918.476410049, 3949879.99983141 4379917.761061708, 3949882.771794063 4379916.769237612, 3949885.433193197 4379915.510489567, 3949887.958398083 4379913.996940006, 3949890.323089617 4379912.243165238, 3949892.504494528 4379910.266055073, 3949894.481604693 4379908.084650162, 3949896.235379461 4379905.719958628, 3949897.748929022 4379903.194753742, 3949899.007677068 4379900.533354607, 3949899.999501164 4379897.761391954, 3949900.714849504 4379894.905561297, 3949901.146832892 4379891.993365847, 3949901.291291092 4379889.052851637))",0.1831400000000003,2.573549999999999,TRUSS_1597183622.7,1,['2020-08-11'],2020-08-11,33.6233879347715,-86.668147870468,-86.668147870468,33.6233879347715,23,6,2,TRUSS_1597182455.6,"['TRUSS_1597182455.6', 'TRUSS_1597183622.7', 'TRUSS_1597183628.8']",2,True
TRUSS_1597186581.2,33.63167791246,-86.67748698946212,"POLYGON ((3948579.550638803 4380491.72585823, 3948579.406180603 4380488.78534402, 3948578.974197215 4380485.87314857, 3948578.258848875 4380483.017317913, 3948577.267024779 4380480.24535526, 3948576.008276734 4380477.583956125, 3948574.494727172 4380475.058751239, 3948572.740952404 4380472.694059705, 3948570.763842239 4380470.512654794, 3948568.582437328 4380468.535544629, 3948566.217745794 4380466.781769861, 3948563.692540908 4380465.2682203, 3948561.031141774 4380464.009472255, 3948558.259179121 4380463.017648159, 3948555.403348464 4380462.302299818, 3948552.491153013 4380461.87031643, 3948549.550638803 4380461.72585823, 3948546.610124594 4380461.87031643, 3948543.697929143 4380462.302299818, 3948540.842098486 4380463.017648159, 3948538.070135832 4380464.009472255, 3948535.408736698 4380465.2682203, 3948532.883531813 4380466.781769861, 3948530.518840278 4380468.535544629, 3948528.337435368 4380470.512654794, 3948526.360325202 4380472.694059705, 3948524.606550434 4380475.058751239, 3948523.093000873 4380477.583956125, 3948521.834252828 4380480.24535526, 3948520.842428731 4380483.017317913, 3948520.127080391 4380485.87314857, 3948519.695097003 4380488.78534402, 3948519.550638803 4380491.72585823, 3948519.695097003 4380494.66637244, 3948520.127080391 4380497.57856789, 3948520.842428731 4380500.434398548, 3948521.834252828 4380503.206361201, 3948523.093000873 4380505.867760335, 3948524.606550434 4380508.392965221, 3948526.360325202 4380510.757656755, 3948528.337435368 4380512.939061666, 3948530.518840278 4380514.916171831, 3948532.883531813 4380516.669946599, 3948535.408736698 4380518.18349616, 3948538.070135832 4380519.442244206, 3948540.842098486 4380520.434068302, 3948543.697929143 4380521.149416642, 3948546.610124594 4380521.58140003, 3948549.550638803 4380521.72585823, 3948552.491153013 4380521.58140003, 3948555.403348464 4380521.149416642, 3948558.259179121 4380520.434068302, 3948561.031141774 4380519.442244206, 3948563.692540908 4380518.18349616, 3948566.217745794 4380516.669946599, 3948568.582437328 4380514.916171831, 3948570.763842239 4380512.939061666, 3948572.740952404 4380510.757656755, 3948574.494727172 4380508.392965221, 3948576.008276734 4380505.867760335, 3948577.267024779 4380503.206361201, 3948578.258848875 4380500.434398548, 3948578.974197215 4380497.57856789, 3948579.406180603 4380494.66637244, 3948579.550638803 4380491.72585823))",0.3503600000000002,1.5376611999999998,TRUSS_1597186581.2,1,['2020-08-11'],2020-08-11,33.63167791246,-86.67748698946212,-86.67748698946212,33.63167791246,23,2,2,TRUSS_1597186581.2,"['TRUSS_1597186581.2', 'TRUSS_1597188815.5']",2,True
TRUSS_1597188815.5,33.63200219304708,-86.67797649181749,"POLYGON ((3948515.587287245 4380510.29959086, 3948515.442829045 4380507.359076651, 3948515.010845657 4380504.4468812, 3948514.295497317 4380501.591050543, 3948513.30367322 4380498.81908789, 3948512.044925175 4380496.157688756, 3948510.531375614 4380493.63248387, 3948508.777600846 4380491.267792336, 3948506.800490681 4380489.086387425, 3948504.61908577 4380487.10927726, 3948502.254394236 4380485.355502492, 3948499.72918935 4380483.84195293, 3948497.067790216 4380482.583204885, 3948494.295827562 4380481.591380789, 3948491.439996905 4380480.876032448, 3948488.527801455 4380480.44404906, 3948485.587287245 4380480.29959086, 3948482.646773035 4380480.44404906, 3948479.734577585 4380480.876032448, 3948476.878746927 4380481.591380789, 3948474.106784274 4380482.583204885, 3948471.44538514 4380483.84195293, 3948468.920180254 4380485.355502492, 3948466.55548872 4380487.10927726, 3948464.374083809 4380489.086387425, 3948462.396973644 4380491.267792336, 3948460.643198876 4380493.63248387, 3948459.129649315 4380496.157688756, 3948457.870901269 4380498.81908789, 3948456.879077173 4380501.591050543, 3948456.163728833 4380504.4468812, 3948455.731745445 4380507.359076651, 3948455.587287245 4380510.29959086, 3948455.731745445 4380513.24010507, 3948456.163728833 4380516.152300521, 3948456.879077173 4380519.008131178, 3948457.870901269 4380521.780093831, 3948459.129649315 4380524.441492965, 3948460.643198876 4380526.966697851, 3948462.396973644 4380529.331389385, 3948464.374083809 4380531.512794296, 3948466.55548872 4380533.489904461, 3948468.920180254 4380535.243679229, 3948471.44538514 4380536.757228791, 3948474.106784274 4380538.015976836, 3948476.878746927 4380539.007800932, 3948479.734577585 4380539.723149273, 3948482.646773035 4380540.155132661, 3948485.587287245 4380540.29959086, 3948488.527801455 4380540.155132661, 3948491.439996905 4380539.723149273, 3948494.295827562 4380539.007800932, 3948497.067790216 4380538.015976836, 3948499.72918935 4380536.757228791, 3948502.254394236 4380535.243679229, 3948504.61908577 4380533.489904461, 3948506.800490681 4380531.512794296, 3948508.777600846 4380529.331389385, 3948510.531375614 4380526.966697851, 3948512.044925175 4380524.441492965, 3948513.30367322 4380521.780093831, 3948514.295497317 4380519.008131178, 3948515.010845657 4380516.152300521, 3948515.442829045 4380513.24010507, 3948515.587287245 4380510.29959086))",1.67346,10.41898,TRUSS_1597188815.5,1,['2020-08-11'],2020-08-11,33.63200219304708,-86.67797649181749,-86.67797649181749,33.63200219304708,23,5,2,TRUSS_1597186581.2,"['TRUSS_1597186581.2', 'TRUSS_1597188815.5']",2,True
TRUSS_1592955581.5,33.59671660780117,-86.60842464603047,"POLYGON ((3957088.971879441 4379147.866936094, 3957088.827421241 4379144.926421884, 3957088.395437853 4379142.014226434, 3957087.680089513 4379139.158395777, 3957086.688265416 4379136.386433124, 3957085.429517371 4379133.725033989, 3957083.91596781 4379131.199829103, 3957082.162193042 4379128.835137569, 3957080.185082877 4379126.653732658, 3957078.003677966 4379124.676622493, 3957075.638986432 4379122.922847725, 3957073.113781546 4379121.409298164, 3957070.452382412 4379120.150550119, 3957067.680419758 4379119.158726023, 3957064.824589101 4379118.443377682, 3957061.912393651 4379118.011394294, 3957058.971879441 4379117.866936094, 3957056.031365231 4379118.011394294, 3957053.119169781 4379118.443377682, 3957050.263339123 4379119.158726023, 3957047.49137647 4379120.150550119, 3957044.829977336 4379121.409298164, 3957042.30477245 4379122.922847725, 3957039.940080916 4379124.676622493, 3957037.758676005 4379126.653732658, 3957035.78156584 4379128.835137569, 3957034.027791072 4379131.199829103, 3957032.514241511 4379133.725033989, 3957031.255493465 4379136.386433124, 3957030.263669369 4379139.158395777, 3957029.548321029 4379142.014226434, 3957029.116337641 4379144.926421884, 3957028.971879441 4379147.866936094, 3957029.116337641 4379150.807450304, 3957029.548321029 4379153.719645754, 3957030.263669369 4379156.575476412, 3957031.255493465 4379159.347439065, 3957032.514241511 4379162.008838199, 3957034.027791072 4379164.534043085, 3957035.78156584 4379166.898734619, 3957037.758676005 4379169.08013953, 3957039.940080916 4379171.057249695, 3957042.30477245 4379172.811024463, 3957044.829977336 4379174.324574024, 3957047.49137647 4379175.58332207, 3957050.263339123 4379176.575146166, 3957053.119169781 4379177.290494506, 3957056.031365231 4379177.722477894, 3957058.971879441 4379177.866936094, 3957061.912393651 4379177.722477894, 3957064.824589101 4379177.290494506, 3957067.680419758 4379176.575146166, 3957070.452382412 4379175.58332207, 3957073.113781546 4379174.324574024, 3957075.638986432 4379172.811024463, 3957078.003677966 4379171.057249695, 3957080.185082877 4379169.08013953, 3957082.162193042 4379166.898734619, 3957083.91596781 4379164.534043085, 3957085.429517371 4379162.008838199, 3957086.688265416 4379159.347439065, 3957087.680089513 4379156.575476412, 3957088.395437853 4379153.719645754, 3957088.827421241 4379150.807450304, 3957088.971879441 4379147.866936094))",0.1711700000000005,0.6354500000000001,TRUSS_1592955581.5,1,['2020-06-23'],2020-06-23,33.59671660780117,-86.60842464603047,-86.60842464603047,33.59671660780117,24,7,2,TRUSS_1592955581.5,['TRUSS_1592955581.5'],1,False
