nearest10hz,nearest10hz_x,bearing_north,bearing_east,latitude,longitude,velocity_ms,nearest10hz_y,wind_up,wind_right,windSpeed,timestamp,deviceTimestamp,devTimestamp,nearestMS,nearest10hz_x,aerisTrue,nearest10hz_y,P,T,CH4,H2O,C2H6,R,C1C2,batteryCharge,powerInput,current,SOC,aerisTimestamp,shiftCH4,shiftC2H6,bearing_rad,true_up,true_right,true_cor_right,true_cor_up,true_windspeed,true_wd_from0
1603489152.0,1603489152.0,0.0,0.0,40.546210200000004,-105.0361865,0.0,,,,,,,,,,False,,,,,,,,,,,,,,,,0.0,,,,,,
1603489152.1,1603489152.1,0.0,0.0,40.546210200000004,-105.0361865,0.0,,,,,,,,,,False,,,,,,,,,,,,,,,,0.0,,,,,,
1603489152.2,1603489152.2,0.0,0.0,40.546210200000004,-105.0361865,0.0,,,,,,,,,,False,,,,,,,,,,,,,,,,0.0,,,,,,
1603489152.3,1603489152.3,0.0,0.0,40.546210200000004,-105.0361865,0.0,,,,,,,,,,False,,,,,,,,,,,,,,,,0.0,,,,,,
1603489152.4,1603489152.4,0.0,0.0,40.546210200000004,-105.0361865,0.0,,,,,,,,,,False,,,,,,,,,,,,,,,,0.0,,,,,,
1603489152.5,1603489152.5,0.0,0.0,40.546210200000004,-105.0361865,0.0,,,,,,,,,,False,,,,,,,,,,,,,,,,0.0,,,,,,
1603489152.6,1603489152.6,0.0,0.0,40.546210200000004,-105.0361865,0.0,,,,,,,,,,False,,,,,,,,,,,,,,,,0.0,,,,,,
1603489152.7,1603489152.7,0.0,0.0,40.546210200000004,-105.0361865,0.0,,,,,,,,,,False,,,,,,,,,,,,,,,,0.0,,,,,,
1603489152.9,1603489152.9,0.0,0.0,40.546210200000004,-105.0361865,0.0,,,,,,,,,,False,,,,,,,,,,,,,,,,0.0,,,,,,
1603489153.0,1603489153.0,0.0,0.0,40.546210200000004,-105.0361865,0.0,,,,,,,,,,False,,,,,,,,,,,,,,,,0.0,,,,,,
1603489153.1,1603489153.1,0.0,0.0,40.546210200000004,-105.0361865,0.0,,,,,,,,,,False,,,,,,,,,,,,,,,,0.0,,,,,,
1603489153.2,1603489153.2,0.0,0.0,40.546210200000004,-105.0361865,0.0,,,,,,,,,,False,,,,,,,,,,,,,,,,0.0,,,,,,
1603489153.3,1603489153.3,0.0,0.0,40.546210200000004,-105.0361865,0.0,,,,,,,,,,False,,,,,,,,,,,,,,,,0.0,,,,,,
1603489153.4,1603489153.4,-8.48167982412346e-18,-0.04617211444164274,40.546210200000004,-105.0361865,0.04617211444164274,,,,,,,,,,False,,,,,,,,,,,,,,,,-3.141592653589793,,,,,,
1603489153.5,1603489153.5,-8.769208142938902e-18,-0.04773734570677503,40.546210200000004,-105.0361864,0.04773734570677503,,,,,,,,,,False,,,,,,,,,,,,,,,,-3.141592653589793,,,,,,
1603489153.6,1603489153.6,2.5999146973937494e-18,0.04245982922102783,40.546210200000004,-105.0361864,0.04245982922102783,,,,,,,,,,False,,,,,,,,,,,,,,,,6.123233995736766e-17,,,,,,
1603489153.7,1603489153.7,2.0946650278040715e-18,0.03420847593383593,40.546210200000004,-105.0361865,0.03420847593383593,,,,,,,,,,False,,,,,,,,,,,,,,,,6.123233995736766e-17,,,,,,
1603489153.9,1603489153.9,-0.02910861806949981,-0.02743347944225341,40.54621025,-105.0361865,0.05654209751175322,,,,,,,,,,False,,,,,,,,,,,,,,,,-2.3265767565726843,,,,,,
1603489154.0,1603489154.0,0.05424137655989156,-0.04121704683966348,40.546210200000004,-105.0361864,0.06812467894452763,,,,,,,,,,False,,,,,,,,,,,,,,,,2.220591988078374,,,,,,
1603489154.1,1603489154.1,2.536189838243336e-18,0.041419123293493766,40.546210200000004,-105.0361864,0.041419123293493766,,,,,,,,,,False,,,,,,,,,,,,,,,,6.123233995736766e-17,,,,,,
1603489154.2,1603489154.2,2.34109873316085e-18,0.0382330437607123,40.546210200000004,-105.0361865,0.0382330437607123,,,,,,,,,,False,,,,,,,,,,,,,,,,6.123233995736766e-17,,,,,,
1603489154.3,1603489154.3,0.0,0.0,40.546210200000004,-105.0361865,0.0,,,,,,,,,,False,,,,,,,,,,,,,,,,0.0,,,,,,
1603489154.4,1603489154.4,0.0,0.0,40.546210200000004,-105.0361865,0.0,,,,,,,,,,False,,,,,,,,,,,,,,,,0.0,,,,,,
1603489154.5,1603489154.5,0.0,0.0,40.546210200000004,-105.0361865,0.0,,,,,,,,,,False,,,,,,,,,,,,,,,,0.0,,,,,,
1603489154.6,1603489154.6,0.0,0.0,40.546210200000004,-105.0361865,0.0,,,,,,,,,,False,,,,,,,,,,,,,,,,0.0,,,,,,
