,timestamp,deviceTimestamp,name,channel,deviceID,latitude,longitude,locDevice,nearestMS,nextLat,prevLat,nextLon,prevLon,prevTime_ms,nextTime_ms,timediff_ms,distance_ms,velocity_ms,bearing_ms,theta_ms,bearing_north,bearing_east
0,1603489148.0925882,1603489148.0850382,Actisense,Location,16,40.546210200000004,-105.0361865,HEMISPHERE,1603489148.093,40.546210200000004,,-105.0361865,,,1603489148.102,,,,,,,
1,1603489148.101562,1603489148.085603,Actisense,Location,16,40.546210200000004,-105.0361865,HEMISPHERE,1603489148.102,40.546210200000004,40.546210200000004,-105.0361865,-105.0361865,1603489148.093,1603489148.103,0.009999990463256836,0.0,0.0,0.0,1.5707963267948966,0.0,0.0
2,1603489148.102557,1603489148.086601,Actisense,Location,16,40.546210200000004,-105.0361865,HEMISPHERE,1603489148.103,40.54621029999999,40.546210200000004,-105.0361865,-105.0361865,1603489148.102,1603489148.109,0.006999969482421875,0.0111194912142244,1.5885056702243276,0.0,1.5707963267948966,1.5885056702243276,0.0
3,1603489148.108541,1603489148.108541,Actisense,Location,16,40.54621029999999,-105.0361865,HEMISPHERE,1603489148.109,40.54621029999999,40.546210200000004,-105.0361865,-105.0361865,1603489148.103,1603489148.218,0.11500000953674316,0.0111194912142244,0.09669121993134844,0.0,1.5707963267948966,0.09669121993134844,0.0
4,1603489148.217788,1603489148.217788,Actisense,Location,16,40.54621029999999,-105.0361865,HEMISPHERE,1603489148.218,40.54621029999999,40.54621029999999,-105.0361865,-105.0361865,1603489148.109,1603489148.343,0.23399996757507324,0.0,0.0,0.0,1.5707963267948966,0.0,0.0
5,1603489148.343436,1603489148.331515,Actisense,Location,16,40.54621029999999,-105.0361865,HEMISPHERE,1603489148.343,40.54621029999999,40.54621029999999,-105.0361865,-105.0361865,1603489148.218,1603489148.432,0.21399998664855957,0.0,0.0,0.0,1.5707963267948966,0.0,0.0
6,1603489148.431988,1603489148.431244,Actisense,Location,16,40.54621029999999,-105.0361865,HEMISPHERE,1603489148.432,40.546210200000004,40.54621029999999,-105.0361865,-105.0361865,1603489148.343,1603489148.519,0.17600011825561523,0.0111194912142244,0.06317888490321873,3.141592653589793,4.71238898038469,-0.06317888490321873,7.737181917042585e-18
7,1603489148.5193331,1603489148.5183551,Actisense,Location,16,40.546210200000004,-105.0361865,HEMISPHERE,1603489148.519,40.546210200000004,40.54621029999999,-105.0361865,-105.0361865,1603489148.432,1603489148.618,0.18600010871887207,0.0111194912142244,0.05978217588587994,3.141592653589793,4.71238898038469,-0.05978217588587994,7.321205034470695e-18
8,1603489148.618144,1603489148.617351,Actisense,Location,16,40.546210200000004,-105.0361865,HEMISPHERE,1603489148.618,40.546210200000004,40.546210200000004,-105.0361865,-105.0361865,1603489148.519,1603489148.716,0.19700002670288086,0.0,0.0,0.0,1.5707963267948966,0.0,0.0
9,1603489148.7159839,1603489148.7159839,Actisense,Location,16,40.546210200000004,-105.0361865,HEMISPHERE,1603489148.716,40.546210200000004,40.546210200000004,-105.0361865,-105.0361865,1603489148.618,1603489148.847,0.22899985313415527,0.0,0.0,0.0,1.5707963267948966,0.0,0.0
10,1603489148.846835,1603489148.8461778,Actisense,Location,16,40.546210200000004,-105.0361865,HEMISPHERE,1603489148.847,40.546210200000004,40.546210200000004,-105.0361865,-105.0361865,1603489148.716,1603489148.912,0.1959998607635498,0.0,0.0,0.0,1.5707963267948966,0.0,0.0
11,1603489148.9117339,1603489148.9117339,Actisense,Location,16,40.546210200000004,-105.0361865,HEMISPHERE,1603489148.912,40.546210200000004,40.546210200000004,-105.0361865,-105.0361865,1603489148.847,1603489149.011,0.1640000343322754,0.0,0.0,0.0,1.5707963267948966,0.0,0.0
12,1603489149.010553,1603489149.009556,Actisense,Location,16,40.546210200000004,-105.0361865,HEMISPHERE,1603489149.011,40.546210200000004,40.546210200000004,-105.0361865,-105.0361865,1603489148.912,1603489149.119,0.2070000171661377,0.0,0.0,0.0,1.5707963267948966,0.0,0.0
13,1603489149.1188118,1603489149.1188118,Actisense,Location,16,40.546210200000004,-105.0361865,HEMISPHERE,1603489149.119,40.546210200000004,40.546210200000004,-105.0361865,-105.0361865,1603489149.011,1603489149.216,0.2050001621246338,0.0,0.0,0.0,1.5707963267948966,0.0,0.0
14,1603489149.216153,1603489149.216153,Actisense,Location,16,40.546210200000004,-105.0361865,HEMISPHERE,1603489149.216,40.546210200000004,40.546210200000004,-105.0361865,-105.0361865,1603489149.119,1603489149.344,0.22500014305114746,0.0,0.0,0.0,1.5707963267948966,0.0,0.0
15,1603489149.343667,1603489149.337672,Actisense,Location,16,40.546210200000004,-105.0361865,HEMISPHERE,1603489149.344,40.546210200000004,40.546210200000004,-105.0361865,-105.0361865,1603489149.216,1603489149.419,0.20299983024597168,0.0,0.0,0.0,1.5707963267948966,0.0,0.0
16,1603489149.418643,1603489149.4166222,Actisense,Location,16,40.546210200000004,-105.0361865,HEMISPHERE,1603489149.419,40.546210200000004,40.546210200000004,-105.0361865,-105.0361865,1603489149.344,1603489149.514,0.1699998378753662,0.0,0.0,0.0,1.5707963267948966,0.0,0.0
17,1603489149.513698,1603489149.511738,Actisense,Location,16,40.546210200000004,-105.0361865,HEMISPHERE,1603489149.514,40.546210200000004,40.546210200000004,-105.0361865,-105.0361865,1603489149.419,1603489149.61,0.19099998474121094,0.0,0.0,0.0,1.5707963267948966,0.0,0.0
