,index,OBJECTID,X1,Time_Stamp,CH4__ppm_,C2H6__ppb_,R,C2_C1,ch4Enhcmt,totDist,length,lrate,npeaks,Latitude,Longitude,POLYGON,LEAKNUM,PolyLK,win,DateFound,BUFF_DIST,ORIG_FID,Shape_Leng,Shape_Area,geometry,within
58,58,59,7,2020-07-01T23:18:39Z,2.17396,-2.173,0.876,0.007,0.245,286.1,20,4.7,1,33.6776390076,-86.6813735962,P10,8,P10L18,TRUE,2020-07-01,1.0,59,1.89767184947e-05,2.8254319453e-11,"POLYGON ((-86.68137359667173 33.67764175540736, -86.6813730696698 33.67764171940723, -86.68137255566796 33.67764161440681, -86.68137206966617 33.67764144040621, -86.68137162166454 33.67764120440535, -86.6813712256631 33.6776409114043, -86.68137089166191 33.67764056840304, -86.68137062666091 33.67764018540163, -86.68137043966027 33.67763977240014, -86.68137033365986 33.67763933839854, -86.68137031265979 33.67763889639696, -86.68137037666003 33.67763845739535, -86.68137052366058 33.67763803339381, -86.68137074966137 33.67763763339235, -86.68137105066245 33.67763726939103, -86.68137141666381 33.67763695038985, -86.68137183966536 33.67763668438892, -86.68137230866705 33.67763647938818, -86.68137280966886 33.67763633938767, -86.68137333267077 33.6776362683874, -86.68137386067269 33.6776362683874, -86.68137438367461 33.67763633938767, -86.68137488467642 33.67763647938818, -86.68137535367811 33.67763668438892, -86.68137577667966 33.67763695038985, -86.68137614268096 33.67763726939103, -86.6813764436821 33.67763763339235, -86.68137666968289 33.67763803339381, -86.68137681668344 33.67763845739535, -86.68137688068367 33.67763889639696, -86.68137685968361 33.67763933839854, -86.6813767536832 33.67763977240014, -86.6813765666825 33.67764018540163, -86.68137630168155 33.67764056840304, -86.68137596768037 33.6776409114043, -86.68137557167893 33.67764120440535, -86.6813751236773 33.67764144040621, -86.6813746376755 33.67764161440681, -86.68137412367366 33.67764171940723, -86.68137359667173 33.67764175540736))",True
59,59,60,8,2020-07-01T23:44:25Z,2.07181,0.688,0.734,0.012,0.092,0.7,5,0.0,1,33.6673316956,-86.683883667,P10,9,P10L19,TRUE,2020-07-01,1.0,60,1.8975564305e-05,2.82510093423e-11,"POLYGON ((-86.68388366679693 33.66733444393572, -86.683883139795 33.66733440793558, -86.68388262579316 33.66733430293522, -86.68388213979136 33.66733412893456, -86.68388169278978 33.6673338929337, -86.68388129678834 33.66733359993265, -86.68388096178711 33.66733325693139, -86.68388069778615 33.66733287393004, -86.68388050978547 33.66733246092849, -86.68388040378505 33.66733202692694, -86.68388038278499 33.66733158492531, -86.68388044678522 33.66733114592375, -86.68388059378577 33.66733072192221, -86.68388082078661 33.66733032192076, -86.6838811207877 33.66732995791943, -86.68388148778899 33.66732963891826, -86.68388190979056 33.66732937291727, -86.68388237879225 33.66732916791653, -86.68388287979406 33.66732902791603, -86.68388340279597 33.66732895691575, -86.68388393079789 33.66732895691575, -86.68388445379981 33.66732902791603, -86.68388495480161 33.66732916791653, -86.6838854238033 33.66732937291727, -86.68388584580487 33.66732963891826, -86.68388621280621 33.66732995791943, -86.68388651280731 33.66733032192076, -86.68388673980809 33.66733072192221, -86.68388688680864 33.66733114592375, -86.68388695080887 33.66733158492531, -86.68388692980881 33.66733202692694, -86.68388682380839 33.66733246092849, -86.68388663580771 33.66733287393004, -86.68388637180675 33.66733325693139, -86.68388603680557 33.66733359993265, -86.68388564080414 33.6673338929337, -86.6838851938025 33.66733412893456, -86.6838847078007 33.66733430293522, -86.68388419379886 33.66733440793558, -86.68388366679693 33.66733444393572))",True
60,60,61,0,2020-07-02T01:19:13Z,3.86984,9.888,0.944,0.002,1.874,176.8,13,48.6,2,33.6864128113,-86.6763153076,P11,1,P11L0,TRUE,2020-07-02,1.0,61,1.89779334631e-05,2.82573684552e-11,"POLYGON ((-86.67631530728261 33.68641555930401, -86.67631478028068 33.68641552330388, -86.67631426627884 33.68641541830345, -86.67631377927705 33.68641524430285, -86.67631333227541 33.68641500830199, -86.67631293627397 33.68641471530094, -86.67631260227279 33.68641437229968, -86.67631233727184 33.68641398929827, -86.67631215027114 33.68641357629679, -86.67631204427073 33.68641314229518, -86.67631202227068 33.6864127002936, -86.67631208627091 33.68641226129199, -86.67631223327146 33.68641183729045, -86.67631246027224 33.686411437289, -86.67631276127338 33.68641107328767, -86.67631312727468 33.6864107542865, -86.67631355027623 33.68641048828556, -86.67631401927792 33.68641028328483, -86.67631452027973 33.68641014328432, -86.67631504228166 33.68641007228405, -86.67631557228356 33.68641007228405, -86.67631609428548 33.68641014328432, -86.67631659528729 33.68641028328483, -86.67631706428898 33.68641048828556, -86.67631748729053 33.6864107542865, -86.67631785329189 33.68641107328767, -86.67631815429297 33.686411437289, -86.67631838129381 33.68641183729045, -86.6763185282943 33.68641226129199, -86.67631859229454 33.6864127002936, -86.67631857029448 33.68641314229518, -86.67631846429407 33.68641357629679, -86.67631827729343 33.68641398929827, -86.67631801229243 33.68641437229968, -86.67631767829124 33.68641471530094, -86.6763172822898 33.68641500830199, -86.67631683528816 33.68641524430285, -86.67631634828638 33.68641541830345, -86.67631583428454 33.68641552330388, -86.67631530728261 33.68641555930401))",True
61,61,62,1,2020-07-02T22:15:10Z,2.58065,3.426,0.915,0.005,0.669,111.1,13,6.5,2,33.6849327087,-86.6708450317,P11,2,P11L1,TRUE,2020-07-02,1.0,62,1.89775499768e-05,2.8256487444e-11,"POLYGON ((-86.67084503139574 33.68493545692314, -86.67084450439381 33.68493542092301, -86.67084399039197 33.68493531592264, -86.67084350339019 33.68493514192204, -86.67084305638855 33.68493490592118, -86.67084266038711 33.68493461292007, -86.67084232638592 33.68493426991887, -86.67084206138497 33.68493388691746, -86.67084187438428 33.68493347391598, -86.67084176838387 33.68493303991437, -86.6708417473838 33.68493259791279, -86.67084181038405 33.68493215891118, -86.6708419573846 33.68493173490964, -86.67084218438538 33.68493133490819, -86.67084248538652 33.68493097090686, -86.67084285138782 33.68493065190569, -86.67084327438937 33.68493038590475, -86.67084374339106 33.68493018090396, -86.67084424439287 33.68493004090345, -86.67084476639479 33.68492996990324, -86.67084529639669 33.68492996990324, -86.67084581839862 33.68493004090345, -86.67084631940043 33.68493018090396, -86.67084678840212 33.68493038590475, -86.67084721140367 33.68493065190569, -86.67084757740503 33.68493097090686, -86.67084787840611 33.68493133490819, -86.67084810540695 33.68493173490964, -86.67084825240744 33.68493215891118, -86.67084831540768 33.68493259791279, -86.67084829440762 33.68493303991437, -86.67084818840721 33.68493347391598, -86.67084800140657 33.68493388691746, -86.67084773640556 33.68493426991887, -86.67084740240438 33.68493461292007, -86.67084700640294 33.68493490592118, -86.6708465594013 33.68493514192204, -86.67084607239951 33.68493531592264, -86.67084555839767 33.68493542092301, -86.67084503139574 33.68493545692314))",True
62,62,63,2,2020-07-02T21:33:06Z,2.33921,13.067,0.926,0.015,0.263,7.4,19,0.3,2,33.6953315735,-86.6826248169,P11,3,P11L2,TRUE,2020-07-02,1.0,63,1.89792522925e-05,2.8260845439e-11,"POLYGON ((-86.68262481722047 33.69533432172761, -86.68262429021854 33.69533428572748, -86.6826237762167 33.69533418072712, -86.68262328921492 33.69533400672645, -86.68262284221328 33.6953337707256, -86.68262244621184 33.69533347772455, -86.68262211121061 33.69533313472328, -86.68262184720965 33.69533275172193, -86.68262165920896 33.69533233872039, -86.68262155320861 33.69533190471884, -86.68262153220854 33.69533146271721, -86.68262159620878 33.69533102371565, -86.68262174320927 33.69533059971411, -86.68262197021011 33.69533019971266, -86.6826222702112 33.69532983571133, -86.68262263721255 33.69532951671016, -86.6826230602141 33.69532925070916, -86.6826235282158 33.69532904570843, -86.6826240302176 33.69532890570792, -86.68262455221952 33.69532883470765, -86.68262508222142 33.69532883470765, -86.68262560422335 33.69532890570792, -86.68262610622514 33.69532904570843, -86.68262657422684 33.69532925070916, -86.6826269972284 33.69532951671016, -86.68262736422975 33.69532983571133, -86.68262766423084 33.69533019971266, -86.68262789123162 33.69533059971411, -86.68262803823217 33.69533102371565, -86.6826281022324 33.69533146271721, -86.68262808123234 33.69533190471884, -86.68262797523192 33.69533233872039, -86.68262778723124 33.69533275172193, -86.68262752323028 33.69533313472328, -86.68262718822911 33.69533347772455, -86.68262679222767 33.6953337707256, -86.68262634522603 33.69533400672645, -86.68262585822424 33.69533418072712, -86.6826253442224 33.69533428572748, -86.68262481722047 33.69533432172761))",True
63,63,64,3,2020-07-02T22:41:13Z,2.32599,14.424,0.976,0.017,0.398,165.1,18,7.9,2,33.6964225769,-86.6801986694,P11,4,P11L3,TRUE,2020-07-02,1.0,64,1.89792523205e-05,2.82608455145e-11,"POLYGON ((-86.68019866940034 33.69642532469391, -86.68019814239841 33.69642528869377, -86.68019762839657 33.69642518369341, -86.68019714139479 33.69642500969275, -86.68019669439315 33.69642477369189, -86.68019629839171 33.69642448069084, -86.68019596339053 33.69642413768958, -86.68019569938957 33.69642375468817, -86.68019551138889 33.69642334168668, -86.68019540538847 33.69642290768513, -86.68019538438841 33.6964224656835, -86.68019544838864 33.69642202668189, -86.68019559538919 33.69642160268035, -86.68019582238998 33.69642120267889, -86.68019612239107 33.69642083867757, -86.68019648939242 33.69642051967645, -86.68019691239397 33.69642025367546, -86.68019738039567 33.69642004867472, -86.68019788239747 33.69641990867422, -86.68019840439939 33.69641983767394, -86.68019893440129 33.69641983767394, -86.68019945640322 33.69641990867422, -86.68019995840501 33.69642004867472, -86.68020042640671 33.69642025367546, -86.68020084940827 33.69642051967645, -86.68020121640961 33.69642083867757, -86.6802015164107 33.69642120267889, -86.68020174341154 33.69642160268035, -86.68020189041204 33.69642202668189, -86.68020195441227 33.6964224656835, -86.68020193341221 33.69642290768513, -86.68020182741185 33.69642334168668, -86.68020163941117 33.69642375468817, -86.68020137541021 33.69642413768958, -86.68020104040897 33.69642448069084, -86.68020064440753 33.69642477369189, -86.6802001974059 33.69642500969275, -86.68019971040411 33.69642518369341, -86.68019919640227 33.69642528869377, -86.68019866940034 33.69642532469391))",True
64,64,65,4,2020-06-30T23:55:33Z,2.00158,-1.937,0.76,0.003,0.118,80.1,7,0.8,1,33.6859588623,-86.6762008667,P11,5,P11L4,TRUE,2020-06-30,1.0,65,1.89779334675e-05,2.82573684745e-11,"POLYGON ((-86.67620086686657 33.68596161065369, -86.67620033986464 33.68596157465356, -86.6761998258628 33.68596146965319, -86.67619933886101 33.68596129565253, -86.67619889185937 33.68596105965167, -86.67619849585793 33.68596076665062, -86.67619816185675 33.68596042364936, -86.6761978968558 33.68596004064796, -86.6761977098551 33.68595962764647, -86.67619760385469 33.68595919364492, -86.67619758185464 33.68595875164328, -86.67619764585487 33.68595831264167, -86.67619779285542 33.68595788864013, -86.6761980198562 33.68595748863868, -86.67619832085734 33.68595712463735, -86.67619868685864 33.68595680563624, -86.67619910986019 33.68595653963524, -86.67619957886188 33.68595633463451, -86.67620007986369 33.685956194634, -86.67620060186562 33.68595612363373, -86.67620113186751 33.68595612363373, -86.67620165386944 33.685956194634, -86.67620215487125 33.68595633463451, -86.67620262387294 33.68595653963524, -86.67620304687449 33.68595680563624, -86.67620341287585 33.68595712463735, -86.67620371387693 33.68595748863868, -86.67620394087777 33.68595788864013, -86.67620408787826 33.68595831264167, -86.67620415187849 33.68595875164328, -86.67620412987844 33.68595919364492, -86.67620402387803 33.68595962764647, -86.67620383687739 33.68596004064796, -86.67620357187639 33.68596042364936, -86.6762032378752 33.68596076665062, -86.67620284187376 33.68596105965167, -86.67620239487212 33.68596129565253, -86.67620190787034 33.68596146965319, -86.6762013938685 33.68596157465356, -86.67620086686657 33.68596161065369))",True
65,65,66,5,2020-07-02T00:35:04Z,2.06792,9.448,0.797,0.023,0.072,84.9,9,0.6,1,33.6961479187,-86.6798095703,P11,6,P11L5,TRUE,2020-07-02,1.0,66,1.89792523186e-05,2.82608454937e-11,"POLYGON ((-86.67980956998582 33.69615066669542, -86.67980904298389 33.69615063069529, -86.67980852898199 33.69615052569486, -86.67980804198027 33.69615035169426, -86.67980759497863 33.6961501156934, -86.67980719897719 33.69614982269235, -86.67980686397595 33.69614947969109, -86.679806599975 33.69614909668968, -86.67980641197431 33.69614868368819, -86.67980630597395 33.69614824968659, -86.67980628497384 33.69614780768501, -86.67980634897407 33.6961473686834, -86.67980649597462 33.69614694468186, -86.67980672297546 33.6961465446804, -86.67980702297655 33.69614618067908, -86.6798073899779 33.69614586167791, -86.67980781297939 33.69614559567697, -86.67980828098109 33.69614539067624, -86.67980878298295 33.69614525067573, -86.67980930498481 33.69614517967545, -86.67980983498677 33.69614517967545, -86.67981035698864 33.69614525067573, -86.67981085899049 33.69614539067624, -86.67981132699219 33.69614559567697, -86.67981174999375 33.69614586167791, -86.67981211699504 33.69614618067908, -86.67981241699613 33.6961465446804, -86.67981264399697 33.69614694468186, -86.67981279099752 33.6961473686834, -86.67981285499775 33.69614780768501, -86.67981283399769 33.69614824968659, -86.67981272799727 33.69614868368819, -86.67981253999659 33.69614909668968, -86.67981227599563 33.69614947969109, -86.6798119409944 33.69614982269235, -86.67981154499296 33.6961501156934, -86.67981109799138 33.69615035169426, -86.67981061098959 33.69615052569486, -86.67981009698769 33.69615063069529, -86.67980956998582 33.69615066669542))",True
66,66,67,6,2020-07-02T21:57:29Z,2.067,1.66,0.798,0.023,0.101,16.8,5,0.1,1,33.6871185303,-86.6842422485,P11,7,P11L6,TRUE,2020-07-02,1.0,67,1.89779334631e-05,2.82573684552e-11,"POLYGON ((-86.68424224810053 33.68712127786961, -86.6842417210986 33.68712124186948, -86.68424120709676 33.68712113686905, -86.68424072009498 33.68712096286845, -86.68424027309334 33.68712072686759, -86.6842398770919 33.68712043386654, -86.68423954309071 33.68712009086528, -86.68423927808976 33.68711970786387, -86.68423909108907 33.68711929486238, -86.68423898508865 33.68711886086078, -86.6842389630886 33.6871184188592, -86.68423902708884 33.68711797985759, -86.68423917408938 33.68711755585605, -86.68423940109017 33.68711715585459, -86.6842397020913 33.68711679185327, -86.68424006809261 33.6871164728521, -86.68424049109416 33.68711620685116, -86.68424096009585 33.68711600185043, -86.68424146109766 33.68711586184992, -86.68424198309958 33.68711579084965, -86.68424251310148 33.68711579084965, -86.68424303510341 33.68711586184992, -86.68424353610521 33.68711600185043, -86.6842440051069 33.68711620685116, -86.68424442810846 33.6871164728521, -86.68424479410982 33.68711679185327, -86.6842450951109 33.68711715585459, -86.68424532211174 33.68711755585605, -86.68424546911223 33.68711797985759, -86.68424553311246 33.6871184188592, -86.68424551111241 33.68711886086078, -86.68424540511199 33.68711929486238, -86.68424521811136 33.68711970786387, -86.68424495311035 33.68712009086528, -86.68424461910917 33.68712043386654, -86.68424422310773 33.68712072686759, -86.68424377610609 33.68712096286845, -86.6842432891043 33.68712113686905, -86.68424277510246 33.68712124186948, -86.68424224810053 33.68712127786961))",True
67,67,68,7,2020-07-02T22:01:10Z,2.30327,0.746,0.778,0.007,0.337,61.2,6,5.9,1,33.6887054443,-86.684715271,P11,8,P11L7,TRUE,2020-07-02,1.0,68,1.89783819131e-05,2.82585605039e-11,"POLYGON ((-86.68471527082016 33.68870819263873, -86.68471474381829 33.6887081566386, -86.68471422981639 33.68870805163823, -86.68471374281461 33.68870787763757, -86.68471329581303 33.68870764163671, -86.68471289981159 33.68870734863566, -86.68471256581034 33.6887070056344, -86.68471230080939 33.68870662263299, -86.68471211280871 33.6887062096315, -86.68471200780834 33.68870577562996, -86.68471198580824 33.68870533362832, -86.68471204980847 33.68870489462671, -86.68471219680902 33.68870447062517, -86.68471242380986 33.68870407062371, -86.68471272481094 33.68870370662239, -86.68471309081224 33.68870338762127, -86.68471351381379 33.68870312162028, -86.68471398181549 33.68870291661955, -86.68471448381734 33.68870277661904, -86.68471500581921 33.68870270561877, -86.68471553582117 33.68870270561877, -86.68471605782304 33.68870277661904, -86.68471655982489 33.68870291661955, -86.68471702782659 33.68870312162028, -86.68471745082809 33.68870338762127, -86.68471781682945 33.68870370662239, -86.68471811783053 33.68870407062371, -86.68471834483137 33.68870447062517, -86.68471849183192 33.68870489462671, -86.68471855583215 33.68870533362832, -86.68471853383204 33.68870577562996, -86.68471842883167 33.6887062096315, -86.68471824083099 33.68870662263299, -86.68471797583004 33.6887070056344, -86.6847176418288 33.68870734863566, -86.68471724582736 33.68870764163671, -86.68471679882572 33.68870787763757, -86.68471631182399 33.68870805163823, -86.68471579782209 33.6887081566386, -86.68471527082016 33.68870819263873))",True
68,68,69,8,2020-07-02T22:22:45Z,2.83053,9.992,0.942,0.004,0.905,195.7,13,15.2,1,33.6875419617,-86.6772613525,P11,9,P11L8,TRUE,2020-07-02,1.0,69,1.89779334531e-05,2.82573684269e-11,"POLYGON ((-86.67726135272193 33.68754470940894, -86.67726082572 33.68754467340881, -86.6772603117181 33.68754456840844, -86.67725982471637 33.68754439440778, -86.67725937771473 33.68754415840692, -86.67725898171329 33.68754386540587, -86.67725864771205 33.68754352240461, -86.6772583827111 33.68754313940326, -86.67725819571041 33.68754272640172, -86.67725808971005 33.68754229240017, -86.67725806770994 33.68754185039853, -86.67725813171018 33.68754141139698, -86.67725827871072 33.68754098739544, -86.67725850571156 33.68754058739398, -86.67725880671264 33.68754022339266, -86.677259172714 33.68753990439149, -86.6772595957155 33.68753963839049, -86.67726006471725 33.68753943338976, -86.67726056571905 33.68753929338925, -86.67726108772092 33.68753922238898, -86.67726161772288 33.68753922238898, -86.67726213972475 33.68753929338925, -86.67726264072661 33.68753943338976, -86.6772631097283 33.68753963839049, -86.67726353272985 33.68753990439149, -86.67726389873116 33.68754022339266, -86.67726419973224 33.68754058739398, -86.67726442673307 33.68754098739544, -86.67726457373362 33.68754141139698, -86.67726463773386 33.68754185039853, -86.67726461573375 33.68754229240017, -86.67726450973339 33.68754272640172, -86.6772643227327 33.68754313940326, -86.67726405773175 33.68754352240461, -86.6772637237305 33.68754386540587, -86.67726332772907 33.68754415840692, -86.67726288072748 33.68754439440778, -86.6772623937257 33.68754456840844, -86.6772618797238 33.68754467340881, -86.67726135272193 33.68754470940894))",True
69,69,70,0,2020-07-08T22:55:06Z,2.2702,17.835,0.988,0.018,0.277,321.5,14,4.3,3,33.6415329,-86.724823,P19,1,P19L0,TRUE,2020-07-08,1.0,70,1.89723878945e-05,2.82427883835e-11,"POLYGON ((-86.72482299962945 33.64153564814575, -86.72482247262752 33.64153561214562, -86.72482195962567 33.64153550714519, -86.72482147262389 33.64153533314459, -86.7248210256223 33.64153509714373, -86.72482062962087 33.64153480414268, -86.72482029561962 33.64153446114142, -86.72482003161866 33.64153407814001, -86.72481984361798 33.64153366513852, -86.72481973761762 33.64153323113692, -86.7248197166175 33.64153278913534, -86.72481978061774 33.64153235013373, -86.72481992761828 33.64153192613219, -86.72482015461912 33.64153152613073, -86.72482045462021 33.64153116212941, -86.72482082062152 33.64153084312824, -86.72482124362307 33.6415305771273, -86.72482171162477 33.64153037212657, -86.72482221362662 33.64153023212606, -86.72482273562849 33.64153016112579, -86.72482326363041 33.64153016112579, -86.72482378563234 33.64153023212606, -86.72482428763414 33.64153037212657, -86.72482475563584 33.6415305771273, -86.72482517863739 33.64153084312824, -86.72482554463869 33.64153116212941, -86.72482584463978 33.64153152613073, -86.72482607164062 33.64153192613219, -86.72482621864117 33.64153235013373, -86.7248262826414 33.64153278913534, -86.72482626164134 33.64153323113692, -86.72482615564093 33.64153366513852, -86.72482596764024 33.64153407814001, -86.72482570363928 33.64153446114142, -86.7248253696381 33.64153480414268, -86.72482497363666 33.64153509714373, -86.72482452663502 33.64153533314459, -86.72482403963323 33.64153550714519, -86.72482352663138 33.64153561214562, -86.72482299962945 33.64153564814575))",True
70,70,71,1,2020-07-08T23:00:16Z,2.30348,14.539,0.844,0.01,0.29,309.1,14,56.4,2,33.61488342,-86.74195862,P19,2,P19L1,TRUE,2020-07-08,1.0,71,1.89685783428e-05,2.8232552278e-11,"POLYGON ((-86.74195861992501 33.61488616826313, -86.74195809292308 33.614886132263, -86.74195757992123 33.61488602726263, -86.74195709391944 33.61488585326197, -86.7419566469178 33.61488561726111, -86.74195625091636 33.61488532426006, -86.74195591691517 33.6148849812588, -86.74195565291421 33.61488459825739, -86.74195546491353 33.6148841852559, -86.74195535891312 33.61488375125435, -86.74195533791305 33.61488330925272, -86.74195540191329 33.61488287025111, -86.74195554891384 33.61488244624957, -86.74195577591468 33.61488204624811, -86.74195607591577 33.61488168224679, -86.74195644191707 33.61488136324567, -86.74195686491862 33.61488109724468, -86.74195733292032 33.61488089224395, -86.74195783392213 33.61488075224344, -86.74195835592406 33.61488068124316, -86.74195888392597 33.61488068124316, -86.74195940592784 33.61488075224344, -86.74195990692965 33.61488089224395, -86.74196037493135 33.61488109724468, -86.7419607979329 33.61488136324567, -86.74196116393426 33.61488168224679, -86.74196146393535 33.61488204624811, -86.74196169093614 33.61488244624957, -86.74196183793669 33.61488287025111, -86.74196190193692 33.61488330925272, -86.74196188093686 33.61488375125435, -86.74196177493644 33.6148841852559, -86.74196158693576 33.61488459825739, -86.7419613229348 33.6148849812588, -86.74196098893361 33.61488532426006, -86.74196059293217 33.61488561726111, -86.74196014593053 33.61488585326197, -86.7419596599288 33.61488602726263, -86.74195914692689 33.614886132263, -86.74195861992501 33.61488616826313))",True
71,71,72,2,2020-07-10T22:29:22Z,2.21032,1.285,0.793,0.006,0.325,211.7,12,37.9,2,33.60791016,-86.74339294,P19,3,P19L2,TRUE,2020-07-10,1.0,72,1.89682030609e-05,2.82316761838e-11,"POLYGON ((-86.74339294013936 33.60791290791224, -86.74339241313749 33.60791287191211, -86.74339190013558 33.60791276691174, -86.74339141413384 33.60791259291108, -86.7433909671322 33.60791235691022, -86.74339057113076 33.60791206390917, -86.74339023712957 33.60791172090791, -86.74338997312861 33.60791133790656, -86.74338978512793 33.60791092490501, -86.74338968012751 33.60791049090346, -86.74338965812746 33.60791004890183, -86.74338972212769 33.60790960990028, -86.74338986912824 33.60790918589873, -86.74339009612902 33.60790878589728, -86.74339039613011 33.60790842189596, -86.74339076213147 33.60790810289478, -86.74339118513302 33.60790783689379, -86.74339165313472 33.60790763189306, -86.74339215413653 33.60790749189255, -86.7433926761384 33.60790742089227, -86.74339320414032 33.60790742089227, -86.74339372614224 33.60790749189255, -86.74339422714405 33.60790763189306, -86.74339469514575 33.60790783689379, -86.7433951181473 33.60790810289478, -86.74339548414861 33.60790842189596, -86.7433957841497 33.60790878589728, -86.74339601115054 33.60790918589873, -86.74339615815109 33.60790960990028, -86.74339622215132 33.60791004890183, -86.74339620015121 33.60791049090346, -86.74339609515084 33.60791092490501, -86.74339590715016 33.60791133790656, -86.7433956431492 33.60791172090791, -86.74339530914801 33.60791206390917, -86.74339491314657 33.60791235691022, -86.74339446614493 33.60791259291108, -86.74339398014314 33.60791276691174, -86.74339346714129 33.60791287191211, -86.74339294013936 33.60791290791224))",True
72,72,73,3,2020-07-10T22:35:52Z,2.1884,3.081,0.903,0.007,0.293,185.4,7,12.7,1,33.64453888,-86.7223587,P19,4,P19L3,TRUE,2020-07-10,1.0,73,1.89723878828e-05,2.8242788362e-11,"POLYGON ((-86.72235869967062 33.6445416280738, -86.72235817266875 33.64454159207367, -86.72235765966684 33.6445414870733, -86.72235717266511 33.64454131307264, -86.72235672566347 33.64454107707178, -86.72235632966203 33.64454078407073, -86.72235599566079 33.64454044106947, -86.72235573165983 33.64454005806806, -86.72235554365915 33.64453964506657, -86.72235543765879 33.64453921106502, -86.72235541665873 33.64453876906339, -86.72235548065896 33.64453833006178, -86.72235562765945 33.64453790606024, -86.72235585466029 33.64453750605878, -86.72235615466138 33.64453714205746, -86.72235652066274 33.64453682305634, -86.72235694366424 33.64453655705535, -86.72235741166594 33.64453635205462, -86.72235791366779 33.64453621205411, -86.72235843566966 33.64453614105383, -86.72235896367158 33.64453614105383, -86.72235948567351 33.64453621205411, -86.7223599876753 33.64453635205462, -86.72236045567701 33.64453655705535, -86.72236087867856 33.64453682305634, -86.72236124467992 33.64453714205746, -86.72236154468101 33.64453750605878, -86.72236177168179 33.64453790606024, -86.72236191868234 33.64453833006178, -86.72236198268257 33.64453876906339, -86.72236196168251 33.64453921106502, -86.7223618556821 33.64453964506657, -86.72236166768141 33.64454005806806, -86.72236140368045 33.64454044106947, -86.72236106967927 33.64454078407073, -86.72236067367783 33.64454107707178, -86.72236022667619 33.64454131307264, -86.7223597396744 33.6445414870733, -86.72235922667255 33.64454159207367, -86.72235869967062 33.6445416280738))",True
73,73,74,4,2020-07-10T22:35:57Z,2.21506,3.166,0.807,0.004,0.32,198.9,9,17.4,2,33.64520264,-86.72180176,P19,5,P19L4,TRUE,2020-07-10,1.0,74,1.89723878881e-05,2.82427883663e-11,"POLYGON ((-86.72180175964593 33.64520538848683, -86.721801232644 33.6452053524867, -86.72180071964215 33.64520524748633, -86.72180023264036 33.64520507348573, -86.72179978563872 33.64520483748487, -86.72179938963728 33.64520454448376, -86.7217990556361 33.64520420148256, -86.72179879163514 33.64520381848115, -86.72179860363445 33.64520340547966, -86.72179849763404 33.64520297147806, -86.72179847663398 33.64520252947648, -86.72179854063421 33.64520209047487, -86.72179868763476 33.64520166647333, -86.7217989146356 33.64520126647187, -86.72179921463669 33.64520090247055, -86.72179958063799 33.64520058346938, -86.72180000363954 33.64520031746844, -86.72180047164125 33.64520011246765, -86.72180097364304 33.64519997246714, -86.72180149564497 33.64519990146692, -86.72180202364689 33.64519990146692, -86.72180254564876 33.64519997246714, -86.72180304765061 33.64520011246765, -86.72180351565231 33.64520031746844, -86.72180393865386 33.64520058346938, -86.72180430465517 33.64520090247055, -86.72180460465626 33.64520126647187, -86.7218048316571 33.64520166647333, -86.72180497865764 33.64520209047487, -86.72180504265788 33.64520252947648, -86.72180502165776 33.64520297147806, -86.7218049156574 33.64520340547966, -86.72180472765672 33.64520381848115, -86.72180446365576 33.64520420148256, -86.72180412965452 33.64520454448376, -86.72180373365308 33.64520483748487, -86.72180328665149 33.64520507348573, -86.72180279964971 33.64520524748633, -86.72180228664786 33.6452053524867, -86.72180175964593 33.64520538848683))",True
74,74,75,5,2020-07-08T23:02:18Z,2.20652,11.618,0.753,0.013,0.163,78.6,5,2.2,1,33.60208893,-86.73505402,P19,6,P19L5,TRUE,2020-07-08,1.0,75,1.89672545873e-05,2.82293123113e-11,"POLYGON ((-86.73505401982374 33.60209167774951, -86.73505349282181 33.60209164174938, -86.73505297981995 33.60209153674901, -86.73505249381816 33.60209136274835, -86.73505204681658 33.6020911267475, -86.73505165181513 33.60209083374644, -86.73505131681389 33.60209049074518, -86.73505105281293 33.60209010774378, -86.73505086581224 33.60208969474229, -86.73505075981188 33.60208926074074, -86.73505073881182 33.60208881873911, -86.73505080181201 33.60208837973749, -86.73505094881256 33.60208795573595, -86.7350511758134 33.6020875557345, -86.73505147581449 33.60208719173318, -86.73505184181579 33.60208687273206, -86.73505226481734 33.60208660673106, -86.73505273281904 33.60208640173033, -86.73505323382085 33.60208626172982, -86.73505375582278 33.60208619072955, -86.7350542838247 33.60208619072955, -86.73505480582656 33.60208626172982, -86.73505530682843 33.60208640173033, -86.73505577483013 33.60208660673106, -86.73505619783163 33.60208687273206, -86.73505656383298 33.60208719173318, -86.73505686383407 33.6020875557345, -86.73505709083491 33.60208795573595, -86.73505723783541 33.60208837973749, -86.73505730083565 33.60208881873911, -86.73505727983559 33.60208926074074, -86.73505717383517 33.60208969474229, -86.73505698683454 33.60209010774378, -86.73505672283358 33.60209049074518, -86.73505638783234 33.60209083374644, -86.73505599283089 33.6020911267475, -86.73505554582925 33.60209136274835, -86.73505505982752 33.60209153674901, -86.73505454682567 33.60209164174938, -86.73505401982374 33.60209167774951))",True
