,which1,timestamp,deviceTimestamp,name,channel,deviceID,latitude,longitude,locDevice,nextLat,prevLat,nextLon,prevLon,prevTime_ms,nextTime_ms,timediff_ms,distance_ms,velocity_ms,bearing_ms,theta_ms,bearing_north,bearing_east,windSpeed,windAngle,windReference,nearestMS,filledLat,filledLon,filled_velocity,filled_bearing,filled_bearing_n,filled_bearing_e,delta,theorWindNS,theorWindEW,theorWS
30223,fulltime,1603489280.221214,1603489280.218983,Actisense,Location,16.0,40.5459745,-105.03612700000001,HEMISPHERE,40.5459744,40.5459745,-105.03612790000001,-105.0361264,1603489280.111,1603489280.348,0.2369999885559082,0.12722980555881255,0.536834648533323,4.624880422850753,3.22910121112373,-0.046917691546263116,-0.534780487757235,6.0600000000000005,3.2253000000000003,248.0,1603489280.221,40.5459745,-105.03612700000001,0.536834648533323,4.624880422850753,-0.046917691546263116,-0.534780487757235,0.0,-0.023882407610146206,5.52517573120128,5.52522734645814
30349,fulltime,,,,,,,,,,,,,,,,,,,,,,6.01,3.3125,248.0,1603489280.347,40.5459744007874,-105.0361278929134,0.536834648533323,4.624880422850753,-0.046917691546263116,-0.534780487757235,0.0,-0.5475635795116234,5.454330773094693,5.481746989412712
30435,fulltime,,,,,,,,,,,,,,,,,,,,,,5.8100000000000005,3.3666,248.0,1603489280.433,40.54597449883721,-105.03612898720931,0.7933829919350178,4.71238899084863,8.301911828709428e-09,-0.7933829919350178,0.0,-1.2962896217006998,4.870161233649143,5.039725907732273
30522,fulltime,,,,,,,,,,,,,,,,,,,,,,5.55,3.4330000000000003,248.0,1603489280.52,40.54597459885058,-105.03613038390804,1.2277796433535044,4.817281746015071,0.12854917256007997,-1.2210315159189697,0.0,-2.013794462638892,3.898818457344158,4.388183394194293
30621,fulltime,,,,,,,,,,,,,,,,,,,,,,5.34,3.4993000000000003,248.0,1603489280.619,40.5459746,-105.03613198383839,1.3641391536503376,4.756227200365281,0.059782279847879136,-1.362828569387232,0.0,-2.0273109966247786,3.5524172693580316,4.0901905007797525
30724,fulltime,1603489280.722135,1603489280.720095,Actisense,Location,16.0,40.5459747,-105.03613390000001,HEMISPHERE,40.545975,40.5459746,-105.03613610000001,-105.03613200000001,1603489280.62,1603489280.857,0.2370002269744873,0.3492743539472847,1.4737300398656727,4.840079654020404,3.0139019799540785,0.18767061771989163,-1.4617318391713001,5.14,3.5673000000000004,248.0,1603489280.722,40.5459747,-105.03613390000001,1.4737300398656727,4.840079654020404,0.18767061771989163,-1.4617318391713001,0.0,-2.513816242241232,2.9110897608322244,3.846259962012194
30857,fulltime,,,,,,,,,,,,,,,,,,,,,,5.04,3.618,248.0,1603489280.855,40.545974995555554,-105.03613606740741,1.4737300398656727,4.840079654020404,0.18767061771989163,-1.4617318391713001,0.0,-2.6751500038237492,2.686262626695847,3.791099371230076
30925,fulltime,1603489280.922559,1603489280.919564,Actisense,Location,16.0,40.5459753,-105.0361386,HEMISPHERE,40.5459758,40.545975,-105.0361413,-105.03613610000001,1603489280.857,1603489281.01,0.1529998779296875,0.4482901878952444,2.930003565762714,4.912148731283401,2.9418329026910817,0.5814119318693404,-2.8717383343303027,4.93,3.6703,248.0,1603489280.923,40.5459753,-105.0361386,2.930003565762714,4.912148731283401,0.5814119318693404,-2.8717383343303027,0.0,-2.700620068596007,0.8070068250849871,2.81861823783166
31012,fulltime,1603489281.010366,1603489281.007354,Actisense,Location,16.0,40.5459758,-105.0361413,HEMISPHERE,40.5459765,40.5459753,-105.03614409999999,-105.0361386,1603489280.923,1603489281.12,0.19699978828430176,0.48350097958606764,2.454322330987988,4.9919923764357845,2.8619892575386983,0.6773303007178242,-2.359008640958276,4.68,3.7227,248.0,1603489281.01,40.5459758,-105.0361413,2.454322330987988,4.9919923764357845,0.6773303007178242,-2.359008640958276,0.0,-2.8715421838882538,0.6918771464821316,2.9537177420454346
31121,fulltime,,,,,,,,,,,,,,,,,,,,,,4.47,3.7889999999999997,248.0,1603489281.119,40.54597649363637,-105.03614407454545,2.454322330987988,4.9919923764357845,0.6773303007178242,-2.359008640958276,0.0,-2.897906591197069,0.3240085350379437,2.9159636729700273
31219,fulltime,,,,,,,,,,,,,,,,,,,,,,4.37,3.8344,248.0,1603489281.217,40.545977291836735,-105.03614687142857,2.4120687194459127,5.05128672336785,0.8018867747678021,-2.2748743059303163,0.0,-2.9483403992281745,-0.031507161786906934,2.9485087435795094
31355,fulltime,,,,,,,,,,,,,,,,,,,,,,4.47,3.9321,248.0,1603489281.353,40.54597819338235,-105.03614967941176,2.1774994371017042,5.092461490845087,0.8078257394728035,-2.022108150723758,0.0,-3.308939998064896,-0.2805169638387073,3.3208091902117776
31432,fulltime,1603489281.430117,1603489281.427224,Actisense,Location,16.0,40.545979200000005,-105.0361524,HEMISPHERE,40.5459804,40.5459782,-105.03615500000001,-105.0361497,1603489281.354,1603489281.519,0.16499996185302734,0.5102848326000546,3.0926360640894424,5.212356091858782,2.641625542115701,1.4825994490416887,-2.71409224209641,4.5200000000000005,3.9635,248.0,1603489281.43,40.545979200000005,-105.0361524,3.0926360640894424,5.212356091858782,1.4825994490416887,-2.71409224209641,0.0,-2.8980877888024708,-1.6005486532821636,3.310690082615608
31520,fulltime,,,,,,,,,,,,,,,,,,,,,,4.5200000000000005,3.9792,248.0,1603489281.518,40.54598038651685,-105.03615497078653,3.0926360640894424,5.212356091858782,1.4825994490416887,-2.71409224209641,0.0,-2.9150298182311816,-1.6694598533466236,3.3592402479002668
31619,fulltime,,,,,,,,,,,,,,,,,,,,,,4.37,3.9286,248.0,1603489281.617,40.54598168686869,-105.03615757373736,2.765588944974363,5.276497125139287,1.4786562910945864,-2.337104573049912,0.0,-2.7863197206577235,-1.3848023000413026,3.1114715161681645
31719,fulltime,,,,,,,,,,,,,,,,,,,,,,4.21,3.8867,248.0,1603489281.717,40.545983086,-105.03615987700002,2.569969755490254,5.339787019161369,1.5086758413295334,-2.0805388124049164,0.0,-2.61882787761415,-1.2511938599839918,2.902368951017543
31862,fulltime,,,,,,,,,,,,,,,,,,,,,,4.0600000000000005,3.8379,248.0,1603489281.86,40.545984589510496,-105.03616218391609,2.078310256240518,5.404946924474848,1.3270175210049795,-1.5994993029508722,0.0,-2.6659768320453807,-0.8649272530415809,2.802772131668356
31919,fulltime,,,,,,,,,,,,,,,,,,,,,,3.9,3.8099,248.0,1603489281.917,40.545986171929826,-105.03616436140351,2.5661005726224504,5.4488224058007475,1.7235210015598732,-1.9011437362796426,0.0,-2.1228322695225454,-1.2564992497340919,2.46682127628018
32017,fulltime,,,,,,,,,,,,,,,,,,,,,,3.96,3.7384,248.0,1603489282.015,40.545987865656556,-105.03616635959597,3.2722942106497563,5.514497461867151,2.352201939682089,-2.274874817656508,0.0,-1.5494469741326662,-1.5975744756160366,2.2255404132005174
32118,fulltime,,,,,,,,,,,,,,,,,,,,,,3.9,3.7227,248.0,1603489282.116,40.545989583,-105.03616818200001,2.4925072715103744,5.579107889231073,1.8998117040503626,-1.6134769870330807,0.0,-1.9707382400535174,-1.1351014753297257,2.27426132405776
32216,fulltime,,,,,,,,,,,,,,,,,,,,,,3.96,3.7331,248.0,1603489282.214,40.545991282653056,-105.03616978367346,2.398131911697659,5.633388144632543,1.909408303820255,-1.4509295624546785,0.0,-2.043866149510058,-1.220232582314249,2.380410971251471
32352,fulltime,,,,,,,,,,,,,,,,,,,,,,4.0600000000000005,3.6651,248.0,1603489282.35,40.5459928882353,-105.03617128897059,1.9266707459898254,5.6632371230545075,1.5681338171158814,-1.1193821934757426,0.0,-2.473000116787313,-0.7284390668497615,2.578052181733918
