nearest10hz,timestamp,deviceTimestamp,deviceID,latitude,longitude,nearestMS,nextLat,prevLat,nextLon,prevLon,prevTime_ms,nextTime_ms,timediff_ms,distance_ms,velocity_ms,bearing_ms,theta_ms,bearing_north,bearing_south
1601568759.2,1601568759.218966,1601568759.218134,16,40.5949615,-105.1400314,1601568759.219,40.5949615,40.5949615,-105.1400314,-105.1400314,1601568759.131,1601568759.328,0.19700002670288086,0.0,0.0,0.0,1.5707963267948966,0.0,0.0
1601568759.3,1601568759.327683,1601568759.3270311,16,40.5949615,-105.1400314,1601568759.328,40.5949615,40.5949615,-105.1400314,-105.1400314,1601568759.219,1601568759.428,0.2089998722076416,0.0,0.0,0.0,1.5707963267948966,0.0,0.0
1601568759.4,1601568759.42821,1601568759.427119,16,40.5949615,-105.1400314,1601568759.428,40.5949615,40.5949615,-105.1400314,-105.1400314,1601568759.328,1601568759.525,0.19700002670288086,0.0,0.0,0.0,1.5707963267948966,0.0,0.0
1601568759.5,1601568759.5251288,1601568759.524374,16,40.5949615,-105.1400314,1601568759.525,40.5949615,40.5949615,-105.1400314,-105.1400314,1601568759.428,1601568759.671,0.24300003051757812,0.0,0.0,0.0,1.5707963267948966,0.0,0.0
1601568759.7,1601568759.6975965,1601568759.6951184,16,40.5949615,-105.1400314,1601568759.6975,40.5949615,40.5949615,-105.1400314,-105.1400314,1601568759.598,1601568759.7735,0.17549991607666016,0.0,0.0,0.0,1.5707963267948966,0.0,0.0
1601568759.8,1601568759.822647,1601568759.8206449,16,40.5949615,-105.1400314,1601568759.823,40.5949615,40.5949615,-105.1400314,-105.1400314,1601568759.724,1601568759.922,0.1979999542236328,0.0,0.0,0.0,1.5707963267948966,0.0,0.0
1601568759.9,1601568759.9218938,1601568759.92089,16,40.5949615,-105.1400314,1601568759.922,40.5949615,40.5949615,-105.1400314,-105.1400314,1601568759.823,1601568760.022,0.19900012016296387,0.0,0.0,0.0,1.5707963267948966,0.0,0.0
1601568760.0,1601568760.021801,1601568760.019651,16,40.5949615,-105.1400314,1601568760.022,40.5949615,40.5949615,-105.1400314,-105.1400314,1601568759.922,1601568760.124,0.20200014114379883,0.0,0.0,0.0,1.5707963267948966,0.0,0.0
1601568760.1,1601568760.124354,1601568760.1224449,16,40.5949615,-105.1400314,1601568760.124,40.5949615,40.5949615,-105.1400314,-105.1400314,1601568760.022,1601568760.224,0.20199990272521973,0.0,0.0,0.0,1.5707963267948966,0.0,0.0
1601568760.2,1601568760.2242491,1601568760.22228,16,40.5949615,-105.1400314,1601568760.224,40.5949615,40.5949615,-105.1400314,-105.1400314,1601568760.124,1601568760.326,0.20199990272521973,0.0,0.0,0.0,1.5707963267948966,0.0,0.0
