nearest10hz,bearing_north,bearing_east,latitude,longitude,velocity_ms
1601568727.7,,,40.594961299999994,-105.14003170000001,
1601568727.8,0.0,0.0,40.594961299999994,-105.14003170000001,0.0
1601568727.9,0.0,0.0,40.59496129999999,-105.14003170000001,0.0
1601568730.0,-7.833427201297572e-18,-0.042643191526740655,40.594961299999994,-105.14003170000001,0.042643191526740655
1601568730.1,-7.873197432236401e-18,-0.04285969058027195,40.594961299999994,-105.14003159999999,0.04285969058027195
1601568730.2,0.0,0.0,40.594961299999994,-105.14003159999999,0.0
1601568735.0,-0.055320870428842026,6.7748526896726854e-18,40.594961299999994,-105.14003159999999,0.055320870428842026
1601568735.1,-0.05852363281967205,7.167077960708637e-18,40.5949614,-105.14003159999999,0.05852363281967205
1601568735.2,0.0,0.0,40.5949614,-105.14003159999999,0.0
1601568737.2,-7.716506244017257e-18,-0.042006703480490806,40.5949614,-105.14003159999999,0.042006703480490806
1601568737.3,0.0,0.0,40.5949614,-105.1400315,0.0
1601568737.5,-6.3306807299983635e-18,-0.03446262075675496,40.5949614,-105.1400315,0.03446262075675496
1601568751.0,-7.833416643897343e-18,-0.042643134054930636,40.5949614,-105.1400315,0.042643134054930636
1601568751.1,-7.873186773104644e-18,-0.04285963255466128,40.5949614,-105.1400314,0.04285963255466128
1601568751.2,0.0,0.0,40.5949614,-105.1400314,0.0
1601568751.7,-0.027660431283637075,3.387425863454146e-18,40.59496145,-105.1400314,0.027660431283637075
1601568751.9,-0.056159063510453466,6.877501737118976e-18,40.5949615,-105.1400314,0.056159063510453466
1601568752.0,0.0,0.0,40.5949615,-105.1400314,0.0
1601568761.1,-7.794063836670865e-18,-0.042428907350252044,40.5949615,-105.1400314,0.042428907350252044
1601568761.2,-7.755087060071602e-18,-0.04221672766096585,40.5949615,-105.1400313,0.04221672766096585
1601568761.3,0.0,0.0,40.5949615,-105.1400313,0.0
1601568762.0,-0.055876885388152164,6.842944883692406e-18,40.5949615,-105.1400313,0.055876885388152164
1601568762.1,-0.05644412221962513,6.912411360694591e-18,40.594961600000005,-105.1400313,0.05644412221962513
1601568762.2,0.0,0.0,40.594961600000005,-105.1400313,0.0
1601568762.7,0.03633824332068058,0.0,40.594961600000005,-105.1400313,0.03633824332068058
1601568762.8,0.05587681844302867,0.0,40.5949615,-105.1400313,0.05587681844302867
1601568763.8,2.6111385063286123e-18,0.04264312793119761,40.5949615,-105.1400313,0.04264312793119761
1601568764.0,-7.49283890426369e-18,-0.04078911519348815,40.5949615,-105.1400313,0.04078911519348815
1601568770.1,2.4856060805536838e-18,0.04059302783928002,40.5949615,-105.1400313,0.04059302783928002
1601568770.2,2.706837531788616e-18,0.04420601162185247,40.5949615,-105.1400314,0.04420601162185247
1601568772.8,-7.873185642481979e-18,-0.04285962639983816,40.5949615,-105.1400314,0.04285962639983816
1601568773.1,-7.913352025217283e-18,-0.04307828200330559,40.5949615,-105.1400313,0.04307828200330559
1601568775.0,-0.055320870428842026,6.7748526896726854e-18,40.5949615,-105.1400313,0.055320870428842026
1601568775.1,-0.056159071491136865,6.877502714470814e-18,40.594961600000005,-105.1400313,0.056159071491136865
1601568782.8,0.05587681844302867,0.0,40.594961600000005,-105.1400313,0.05587681844302867
1601568783.0,-0.052949959831457866,6.48449988225758e-18,40.5949615,-105.1400313,0.052949959831457866
1601568788.3,0.05477581193758769,0.0,40.594961600000005,-105.1400313,0.05477581193758769
1601568788.5,-0.04412495817684352,5.403748879378224e-18,40.5949615,-105.1400313,0.04412495817684352
1601568788.7,0.0388793787935572,0.0,40.59496155,-105.1400313,0.0388793787935572
1601568789.0,-0.057023063544548724,6.983311224740772e-18,40.594961600000005,-105.1400313,0.057023063544548724
1601568790.4,0.055597454666967965,0.0,40.594961600000005,-105.1400313,0.055597454666967965
1601568790.5,0.0450181964737092,0.0,40.5949615,-105.1400313,0.0450181964737092
1601568790.8,2.4619325397775688e-18,0.040206409578527655,40.5949615,-105.1400313,0.040206409578527655
1601568791.1,2.598021278890289e-18,0.042428907350252044,40.5949615,-105.1400314,0.042428907350252044
1601568800.1,-0.05644412221962513,6.912411360694591e-18,40.5949615,-105.1400314,0.05644412221962513
1601568800.2,-0.05644419053100523,6.91241972642589e-18,40.594961600000005,-105.1400314,0.05644419053100523
1601568800.3,0.0,0.0,40.594961600000005,-105.1400314,0.0
1601568803.5,-0.045018193274974215,5.5131386297594076e-18,40.594961600000005,-105.1400314,0.045018193274974215
1601568803.7,-0.027660433249029046,3.3874261041452443e-18,40.594961700000006,-105.1400314,0.027660433249029046
1601568803.8,0.0,0.0,40.594961700000006,-105.1400314,0.0
1601568804.5,-6.0824199258367515e-18,-0.03311115188516161,40.594961700000006,-105.1400314,0.03311115188516161
1601568804.7,1.6785901897591628e-18,0.027413458164882522,40.594961700000006,-105.14003135,0.027413458164882522
1601568804.9,-7.794063813356295e-18,-0.04242890722333344,40.594961700000006,-105.1400314,0.04242890722333344
1601568805.0,0.0,0.0,40.594961700000006,-105.1400313,0.0
1601568805.1,2.6111416426798437e-18,0.04264317915170027,40.594961700000006,-105.1400314,0.04264317915170027
1601568805.3,-7.794054475424145e-18,-0.04242885638999844,40.594961700000006,-105.1400314,0.04242885638999844
1601568805.4,-7.9539400417891e-18,-0.043299232874474194,40.594961700000006,-105.1400313,0.043299232874474194
1601568806.1,2.624395206310244e-18,0.04285962627163113,40.594961700000006,-105.1400313,0.04285962627163113
1601568806.2,2.5980212711187655e-18,0.04242890722333344,40.594961700000006,-105.1400314,0.04242890722333344
