nearest10hz,nearest10hz_x,bearing_north,bearing_east,latitude,longitude,velocity_ms,nearest10hz_y,wind_up,wind_right,windSpeed
1601568727.7,1601568727.7,,,40.594961299999994,-105.14003170000001,,,,,
1601568727.8,1601568727.8,0.0,0.0,40.594961299999994,-105.14003170000001,0.0,,,,
1601568727.9,1601568727.9,0.0,0.0,40.59496129999999,-105.14003170000001,0.0,,,,
1601568728.0,1601568728.0,0.0,0.0,40.594961299999994,-105.14003170000001,0.0,,,,
1601568728.1,1601568728.1,0.0,0.0,40.594961299999994,-105.14003170000001,0.0,,,,
1601568728.2,1601568728.2,0.0,0.0,40.594961299999994,-105.14003170000001,0.0,,,,
1601568728.3,1601568728.3,0.0,0.0,40.594961299999994,-105.14003170000001,0.0,,,,
1601568728.4,1601568728.4,0.0,0.0,40.594961299999994,-105.14003170000001,0.0,,,,
1601568728.5,1601568728.5,0.0,0.0,40.594961299999994,-105.14003170000001,0.0,,,,
1601568728.7,1601568728.7,0.0,0.0,40.594961299999994,-105.14003170000001,0.0,,,,
1601568728.8,1601568728.8,0.0,0.0,40.594961299999994,-105.14003170000001,0.0,,,,
1601568728.9,1601568728.9,0.0,0.0,40.594961299999994,-105.14003170000001,0.0,,,,
1601568729.0,1601568729.0,0.0,0.0,40.594961299999994,-105.14003170000001,0.0,,,,
1601568729.1,1601568729.1,0.0,0.0,40.594961299999994,-105.14003170000001,0.0,,,,
1601568729.2,1601568729.2,0.0,0.0,40.594961299999994,-105.14003170000001,0.0,,,,
1601568729.3,1601568729.3,0.0,0.0,40.594961299999994,-105.14003170000001,0.0,,,,
1601568729.4,1601568729.4,0.0,0.0,40.594961299999994,-105.14003170000001,0.0,,,,
1601568729.5,1601568729.5,0.0,0.0,40.594961299999994,-105.14003170000001,0.0,,,,
1601568729.7,1601568729.7,0.0,0.0,40.594961299999994,-105.14003170000001,0.0,,,,
1601568729.8,1601568729.8,0.0,0.0,40.594961299999994,-105.14003170000001,0.0,,,,
1601568729.9,1601568729.9,0.0,0.0,40.594961299999994,-105.14003170000001,0.0,,,,
1601568730.0,1601568730.0,-7.833427201297572e-18,-0.042643191526740655,40.594961299999994,-105.14003170000001,0.042643191526740655,,,,
1601568730.1,1601568730.1,-7.873197432236401e-18,-0.04285969058027195,40.594961299999994,-105.14003159999999,0.04285969058027195,,,,
1601568730.2,1601568730.2,0.0,0.0,40.594961299999994,-105.14003159999999,0.0,,,,
1601568730.3,1601568730.3,0.0,0.0,40.594961299999994,-105.14003159999999,0.0,,,,
1601568730.4,1601568730.4,0.0,0.0,40.594961299999994,-105.14003159999999,0.0,,,,
1601568730.5,1601568730.5,0.0,0.0,40.594961299999994,-105.14003159999999,0.0,,,,
1601568730.7,1601568730.7,0.0,0.0,40.594961299999994,-105.14003159999999,0.0,,,,
1601568730.8,1601568730.8,0.0,0.0,40.594961299999994,-105.14003159999999,0.0,,,,
1601568730.9,1601568730.9,0.0,0.0,40.594961299999994,-105.14003159999999,0.0,,,,
1601568731.0,1601568731.0,0.0,0.0,40.594961299999994,-105.14003159999999,0.0,,,,
1601568731.1,1601568731.1,0.0,0.0,40.594961299999994,-105.14003159999999,0.0,,,,
1601568731.2,1601568731.2,0.0,0.0,40.594961299999994,-105.14003159999999,0.0,,,,
1601568731.3,1601568731.3,0.0,0.0,40.594961299999994,-105.14003159999999,0.0,,,,
1601568731.4,1601568731.4,0.0,0.0,40.594961299999994,-105.14003159999999,0.0,,,,
1601568731.5,1601568731.5,0.0,0.0,40.594961299999994,-105.14003159999999,0.0,,,,
1601568731.7,1601568731.7,0.0,0.0,40.594961299999994,-105.14003159999999,0.0,,,,
1601568731.8,1601568731.8,0.0,0.0,40.594961299999994,-105.14003159999999,0.0,,,,
1601568731.9,1601568731.9,0.0,0.0,40.594961299999994,-105.14003159999999,0.0,,,,
1601568732.0,1601568732.0,0.0,0.0,40.594961299999994,-105.14003159999999,0.0,,,,
1601568732.1,1601568732.1,0.0,0.0,40.594961299999994,-105.14003159999999,0.0,,,,
1601568732.2,1601568732.2,0.0,0.0,40.594961299999994,-105.14003159999999,0.0,,,,
1601568732.3,1601568732.3,0.0,0.0,40.594961299999994,-105.14003159999999,0.0,,,,
1601568732.4,1601568732.4,0.0,0.0,40.594961299999994,-105.14003159999999,0.0,,,,
1601568732.5,1601568732.5,0.0,0.0,40.594961299999994,-105.14003159999999,0.0,,,,
1601568732.7,1601568732.7,0.0,0.0,40.594961299999994,-105.14003159999999,0.0,,,,
1601568732.8,1601568732.8,0.0,0.0,40.594961299999994,-105.14003159999999,0.0,,,,
1601568732.9,1601568732.9,0.0,0.0,40.594961299999994,-105.14003159999999,0.0,,,,
1601568733.0,1601568733.0,0.0,0.0,40.594961299999994,-105.14003159999999,0.0,,,,
1601568733.1,1601568733.1,0.0,0.0,40.594961299999994,-105.14003159999999,0.0,,,,
1601568733.2,1601568733.2,0.0,0.0,40.594961299999994,-105.14003159999999,0.0,,,,
1601568733.3,1601568733.3,0.0,0.0,40.594961299999994,-105.14003159999999,0.0,,,,
1601568733.4,1601568733.4,0.0,0.0,40.594961299999994,-105.14003159999999,0.0,,,,
1601568733.5,1601568733.5,0.0,0.0,40.594961299999994,-105.14003159999999,0.0,,,,
1601568733.7,1601568733.7,0.0,0.0,40.594961299999994,-105.14003159999999,0.0,,,,
1601568733.8,1601568733.8,0.0,0.0,40.594961299999994,-105.14003159999999,0.0,,,,
1601568733.9,1601568733.9,0.0,0.0,40.594961299999994,-105.14003159999999,0.0,,,,
1601568734.0,1601568734.0,0.0,0.0,40.594961299999994,-105.14003159999999,0.0,,,,
1601568734.1,1601568734.1,0.0,0.0,40.594961299999994,-105.14003159999999,0.0,,,,
1601568734.2,1601568734.2,0.0,0.0,40.594961299999994,-105.14003159999999,0.0,,,,
1601568734.3,1601568734.3,0.0,0.0,40.594961299999994,-105.14003159999999,0.0,,,,
1601568734.4,1601568734.4,0.0,0.0,40.594961299999994,-105.14003159999999,0.0,,,,
1601568734.5,1601568734.5,0.0,0.0,40.594961299999994,-105.14003159999999,0.0,,,,
1601568734.7,1601568734.7,0.0,0.0,40.594961299999994,-105.14003159999999,0.0,,,,
1601568734.8,1601568734.8,0.0,0.0,40.594961299999994,-105.14003159999999,0.0,,,,
1601568734.9,1601568734.9,0.0,0.0,40.594961299999994,-105.14003159999999,0.0,,,,
1601568735.0,1601568735.0,-0.055320870428842026,6.7748526896726854e-18,40.594961299999994,-105.14003159999999,0.055320870428842026,,,,
1601568735.1,1601568735.1,-0.05852363281967205,7.167077960708637e-18,40.5949614,-105.14003159999999,0.05852363281967205,,,,
1601568735.2,1601568735.2,0.0,0.0,40.5949614,-105.14003159999999,0.0,,,,
1601568735.3,1601568735.3,0.0,0.0,40.5949614,-105.14003159999999,0.0,,,,
1601568735.4,1601568735.4,0.0,0.0,40.5949614,-105.14003159999999,0.0,,,,
1601568735.5,1601568735.5,0.0,0.0,40.5949614,-105.14003159999999,0.0,,,,
1601568735.7,1601568735.7,0.0,0.0,40.5949614,-105.14003159999999,0.0,,,,
1601568735.8,1601568735.8,0.0,0.0,40.5949614,-105.14003159999999,0.0,,,,
