nearestMS,timestamp,deviceTimestamp,name,channel,deviceID,sequenceID,windSpeed,windAngle,windReference,nearestMS,timestamp,deviceTimestamp,name,channel,deviceID,latitude,longitude,locDevice,nearestMS,nextLat,prevLat,nextLon,prevLon,prevTime_ms,nextTime_ms,timediff_ms,distance_ms,velocity_ms,bearing_ms,theta_ms,bearing_north,bearing_south
1601568757.889,1601568757.888864,1601568757.887131,Actisense,WindData,35.0,193.0,3.18,4.5046,250.0,1601568757.889,,,,,,,,,,,,,,,,,,,,,,
1601568757.923,,,,,,,,,,,1601568757.9227688,1601568757.921765,Actisense,Location,16.0,40.5949615,-105.1400314,HEMISPHERE,1601568757.923,40.5949615,40.5949615,-105.1400314,-105.1400314,1601568757.823,1601568758.022,0.19900012016296387,0.0,0.0,0.0,1.5707963267948966,0.0,0.0
1601568757.987,1601568757.986527,1601568757.986527,Actisense,WindData,35.0,194.0,3.08,4.4156,250.0,1601568757.987,,,,,,,,,,,,,,,,,,,,,,
1601568758.022,,,,,,,,,,,1601568758.021634,1601568758.019518,Actisense,Location,16.0,40.5949615,-105.1400314,HEMISPHERE,1601568758.022,40.5949615,40.5949615,-105.1400314,-105.1400314,1601568757.923,1601568758.133,0.20999979972839355,0.0,0.0,0.0,1.5707963267948966,0.0,0.0
1601568758.087,1601568758.087207,1601568758.0863,Actisense,WindData,35.0,195.0,3.18,4.3283000000000005,250.0,1601568758.087,,,,,,,,,,,,,,,,,,,,,,
1601568758.133,,,,,,,,,,,1601568758.132979,1601568758.130929,Actisense,Location,16.0,40.5949615,-105.1400314,HEMISPHERE,1601568758.133,40.5949615,40.5949615,-105.1400314,-105.1400314,1601568758.022,1601568758.221,0.19899988174438477,0.0,0.0,0.0,1.5707963267948966,0.0,0.0
1601568758.198,1601568758.198031,1601568758.197446,Actisense,WindData,35.0,196.0,3.29,4.2829000000000015,250.0,1601568758.198,,,,,,,,,,,,,,,,,,,,,,
1601568758.221,,,,,,,,,,,1601568758.220967,1601568758.219973,Actisense,Location,16.0,40.5949615,-105.1400314,HEMISPHERE,1601568758.221,40.5949615,40.5949615,-105.1400314,-105.1400314,1601568758.133,1601568758.321,0.18800020217895508,0.0,0.0,0.0,1.5707963267948966,0.0,0.0
1601568758.309,1601568758.3086948,1601568758.3079462,Actisense,WindData,35.0,197.0,3.54,4.2358,250.0,1601568758.309,,,,,,,,,,,,,,,,,,,,,,
1601568758.321,,,,,,,,,,,1601568758.320718,1601568758.319702,Actisense,Location,16.0,40.5949615,-105.1400314,HEMISPHERE,1601568758.321,40.5949615,40.5949615,-105.1400314,-105.1400314,1601568758.221,1601568758.42,0.19900012016296387,0.0,0.0,0.0,1.5707963267948966,0.0,0.0
1601568758.385,1601568758.385349,1601568758.384783,Actisense,WindData,35.0,198.0,3.7,4.2148,250.0,1601568758.385,,,,,,,,,,,,,,,,,,,,,,
1601568758.42,,,,,,,,,,,1601568758.41964,1601568758.417643,Actisense,Location,16.0,40.5949615,-105.1400314,HEMISPHERE,1601568758.42,40.5949615,40.5949615,-105.1400314,-105.1400314,1601568758.321,1601568758.527,0.20599985122680664,0.0,0.0,0.0,1.5707963267948966,0.0,0.0
1601568758.484,1601568758.483884,1601568758.483567,Actisense,WindData,35.0,199.0,3.75,4.1974,250.0,1601568758.484,,,,,,,,,,,,,,,,,,,,,,
1601568758.527,,,,,,,,,,,1601568758.527432,1601568758.525649,Actisense,Location,16.0,40.5949615,-105.1400314,HEMISPHERE,1601568758.527,40.5949615,40.5949615,-105.1400314,-105.1400314,1601568758.42,1601568758.673,0.25300002098083496,0.0,0.0,0.0,1.5707963267948966,0.0,0.0
1601568758.593,1601568758.593349,1601568758.592801,Actisense,WindData,35.0,200.0,3.85,4.1555,250.0,1601568758.593,,,,,,,,,,,,,,,,,,,,,,
